GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201010260POR,PHO,0.586439024,0.546841463,0.261158537,0.315109756,27.2902439,70.95487805,50.38902439,57.05487805,6.158536585,7.454878049,13.03902439,116.1073171,110.9378049,POR,0.54895122,0.500146341,0.215658537,0.318231707,27.88170732,75.00853659,51.30121951,55.95121951,7.220731707,7.042682927,11.36219512,111.9036585,108.0219512
201010260BOS,MIA,0.538487805,0.497365854,0.219036585,0.299585366,26.02317073,75.03292683,50.62926829,51.69878049,8.193902439,9.33902439,12.1,107.6268293,105.0536585,BOS,0.565536585,0.524439024,0.227829268,0.335414634,22.63902439,74.24634146,49.20365854,63.22682927,9.346341463,7.973170732,13.7902439,108.652439,104.6170732
201010260LAL,HOU,0.538753086,0.495320988,0.265395062,0.296790123,26.68271605,74.25432099,49.49382716,57.82839506,7.549382716,5.72962963,12.5962963,108.3962963,108.8098765,LAL,0.539679012,0.497814815,0.22862963,0.292654321,27.27654321,74.74938272,51.26296296,55.05679012,7.951851852,7.579012346,12.12716049,109.5296296,104.5530864
201010270TOR,NYK,0.547743902,0.509304878,0.311585366,0.257792683,23.31219512,72.49268293,47.51097561,56.57682927,7.56097561,5.731707317,12.57439024,108.2182927,112.1987805,TOR,0.566731707,0.524378049,0.211097561,0.324243902,24.41341463,73.27560976,49.42682927,56.12195122,6.148780488,7.443902439,12.27195122,112.1926829,113.8890244
201010270PHI,MIA,0.471,0.419,0.27,0.338,24.4,77.8,48.1,55.6,11.3,11.3,16.7,90.4,99.5,PHI,0.535256098,0.497463415,0.206682927,0.271804878,27.2402439,73.25,49.89390244,55.81707317,8.892682927,8.712195122,13.14512195,106.9341463,111.3536585
201010270NJN,DET,0.51647561,0.475073171,0.180682927,0.306939024,30.01463415,73.56341463,50.47439024,53.87195122,8.241463415,6.730487805,12.1402439,106.595122,112.4158537,NJN,0.509890244,0.458560976,0.180439024,0.311121951,24.93658537,71.96707317,47.35731707,54.59146341,7.635365854,7.443902439,12.9597561,101.545122,111.5597561
201010270CLE,BOS,0.55,0.522,0.232,0.362,22.2,75.6,51.9,78.1,6.8,7.4,18.4,99.5,90.4,CLE,0.570617284,0.532802469,0.247901235,0.344061728,24.92222222,77.51111111,52.44938272,58.9345679,7.59382716,8.241975309,12.73703704,112.2222222,104.8962963
201010270DEN,UTA,0.567012195,0.526573171,0.183231707,0.343158537,26.51097561,75.80365854,51.85243902,67.71219512,8.791463415,8.115853659,13.65853659,111.5719512,105.8170732,DEN,0.562012346,0.509061728,0.22862963,0.382197531,25.70246914,72.60123457,49.37037037,54.71728395,8.790123457,7.895061728,12.5691358,112.2493827,108.1135802
201010270GSW,HOU,0.532,0.462,0.22,0.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,107.2,109.1,GSW,0.557731707,0.514939024,0.236939024,0.297329268,20.8304878,68.72195122,44.42195122,55.16097561,9.248780488,6.073170732,12.74268293,108.7036585,112.3146341
201010270LAC,POR,0.532,0.516,0.215,0.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,118.3,102.7,LAC,0.531195122,0.494353659,0.220573171,0.287365854,26.66707317,74.13658537,50.32439024,60.24146341,7.037804878,8.712195122,14.17073171,104.0707317,111.0170732
