GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201112250NYK,BOS,0.58,0.526,0.066,0.408,36.1,77.8,56.9,71.8,7.5,9.3,16.7,111.6,113.7,NYK,0.596,0.534,0.27,0.459,22.2,63.9,43.1,48.6,9.7,15.5,15.2,113.7,111.6
201112250GSW,LAC,0.537,0.506,0.284,0.469,29.5,63.8,47.3,59.5,10.0,13.1,9.3,116.3,95.3,GSW,0.465,0.421,0.256,0.293,36.2,70.5,52.7,53.1,4.4,13.8,14.7,95.3,116.3
201112250OKC,ORL,0.481,0.42,0.346,0.321,28.0,81.6,51.1,60.0,7.6,7.5,16.3,96.2,104.8,OKC,0.581,0.542,0.264,0.361,18.4,72.0,48.9,61.8,8.6,9.4,16.1,104.8,96.2
201112250LAL,CHI,0.462,0.444,0.169,0.157,34.8,67.6,49.4,58.3,15.9,6.7,12.8,100.0,98.9,LAL,0.513,0.5,0.211,0.263,32.4,65.2,50.6,61.1,6.8,10.8,16.7,98.9,100.0
201112250DAL,MIA,0.559,0.513,0.09,0.462,39.5,81.8,62.2,47.4,9.1,11.1,19.0,105.7,94.7,DAL,0.494,0.433,0.341,0.366,18.2,60.5,37.8,74.2,10.1,0.0,15.2,94.7,105.7
201112260IND,DET,0.469,0.407,0.253,0.28,20.5,63.3,43.0,63.0,5.7,11.1,16.0,90.7,104.4,IND,0.464,0.408,0.172,0.287,36.7,79.5,57.0,62.5,10.3,16.1,9.3,104.4,90.7
201112260ORL,HOU,0.523,0.476,0.329,0.244,27.5,83.3,53.9,72.2,4.5,8.2,9.0,107.6,117.8,ORL,0.538,0.502,0.3055,0.2205,22.35,77.05,48.6,51.6,4.35,7.4,13.75,107.0,106.19999999999999
201112260CHA,MIL,0.505,0.452,0.274,0.274,17.8,67.4,42.9,61.8,6.3,3.0,11.3,100.3,101.4,CHA,0.504,0.465,0.221,0.244,32.6,82.2,57.1,71.1,3.2,9.8,14.4,101.4,100.3
201112260CLE,TOR,0.614,0.589,0.266,0.165,33.3,69.4,54.9,83.3,4.7,13.8,12.4,122.5,113.1,CLE,0.493,0.447,0.235,0.329,30.6,66.7,45.1,60.0,8.2,1.7,6.7,113.1,122.5
201112260GSW,CHI,0.479,0.4535,0.23099999999999998,0.21250000000000002,33.7,75.05,53.0,52.7,9.55,5.75,15.35,99.0,102.75,GSW,0.5055000000000001,0.4575,0.2255,0.348,26.85,68.95,48.05,57.1,10.8,11.2,12.3,100.94999999999999,107.15
201112260POR,PHI,0.564,0.53,0.229,0.229,21.4,69.1,48.5,52.5,6.0,9.0,18.0,103.0,107.0,POR,0.499,0.459,0.196,0.237,30.9,78.6,51.5,60.0,11.0,9.4,10.1,107.0,103.0
201112260SAS,MEM,0.504,0.486,0.096,0.26,26.5,73.3,53.2,52.9,9.6,3.6,22.8,87.1,100.9,SAS,0.486,0.455,0.375,0.25,26.7,73.5,46.8,65.7,13.8,7.6,11.7,100.9,87.1
201112260SAC,LAL,0.4925,0.46299999999999997,0.1965,0.2395,33.599999999999994,69.80000000000001,51.75,58.95,6.8,10.65,13.45,100.95,106.6,SAC,0.553,0.527,0.24,0.467,25.6,65.2,47.1,45.7,4.5,8.3,10.8,113.2,103.0
201112260MIN,OKC,0.574,0.5115000000000001,0.2345,0.379,19.75,74.65,50.05,56.599999999999994,7.35,8.55,15.850000000000001,105.6,99.25,MIN,0.508,0.466,0.253,0.299,22.7,78.9,48.8,56.4,4.1,3.2,10.9,102.3,106.4
201112260DAL,DEN,0.612,0.557,0.342,0.43,23.8,88.1,56.0,46.2,15.2,6.1,13.8,116.4,94.1,DAL,0.5115000000000001,0.4535,0.348,0.3605,15.05,68.35,40.9,66.8,10.6,2.9,16.5,94.4,111.05000000000001
201112260PHO,NOH,0.482,0.456,0.203,0.266,26.7,74.5,51.1,28.6,10.2,8.9,12.8,96.0,94.9,PHO,0.47,0.426,0.309,0.235,25.5,73.3,48.9,71.9,10.2,4.8,13.5,94.9,96.0
201112270MIL,MIN,0.5185,0.4545,0.2265,0.471,29.15,74.65,51.65,53.2,5.15,1.6,16.35,100.15,103.75,MIL,0.491,0.444,0.22200000000000003,0.2435,23.700000000000003,65.9,44.2,60.9,9.85,5.95,10.9,100.69999999999999,99.7
201112270MIA,BOS,0.609,0.5615,0.165,0.39149999999999996,23.6,78.9,49.65,62.95,8.15,6.95,19.45,108.1,113.05000000000001,MIA,0.5975,0.5565,0.1115,0.4645,29.75,85.35,59.900000000000006,49.9,12.35,13.1,18.55,109.05000000000001,99.65
201112270POR,SAC,0.492,0.4615,0.2175,0.36750000000000005,29.1,65.15,47.95,40.6,2.8,7.15,13.6,100.55000000000001,107.7,POR,0.509,0.462,0.20400000000000001,0.28300000000000003,32.9,73.0,51.35,62.9,8.85,10.75,9.7,109.7,95.45
201112270LAL,UTA,0.364,0.328,0.144,0.189,34.0,71.8,50.0,69.0,7.2,10.9,9.3,85.0,114.9,LAL,0.5116666666666667,0.46366666666666667,0.206,0.3333333333333333,31.799999999999997,68.53333333333335,51.166666666666664,58.20000000000001,7.733333333333333,11.0,12.066666666666668,105.60000000000001,99.39999999999999
201112280TOR,IND,0.48,0.423,0.185,0.27949999999999997,33.0,76.95,54.15,62.5,10.65,9.600000000000001,12.15,101.7,92.1,TOR,0.558,0.5415,0.228,0.165,29.45,70.05000000000001,51.849999999999994,70.8,9.5,10.75,15.350000000000001,108.0,106.05
201112280CHA,MIA,0.5753333333333334,0.527,0.09999999999999999,0.42933333333333334,23.7,77.73333333333333,51.96666666666667,50.86666666666667,10.733333333333334,13.933333333333332,15.700000000000001,107.10000000000001,100.46666666666665,CHA,0.5185,0.49150000000000005,0.2205,0.2195,35.05,85.30000000000001,60.5,63.75,4.300000000000001,11.15,16.75,101.75,101.75
201112280DET,CLE,0.5760000000000001,0.534,0.203,0.3215,36.75,70.2,52.85,65.0,9.25,3.35,13.799999999999999,116.65,112.15,DET,0.4935,0.4535,0.256,0.20800000000000002,23.4,60.2,41.2,53.7,9.15,6.3999999999999995,15.85,96.25,112.30000000000001
201112280ATL,WAS,0.479,0.429,0.208,0.286,15.0,70.3,41.6,53.3,10.9,5.8,15.6,90.4,110.0,ATL,0.559,0.487,0.307,0.467,29.7,85.0,58.4,65.6,6.5,8.2,13.4,110.0,90.4
201112280DEN,UTA,0.46,0.4265,0.1735,0.2525,26.75,71.94999999999999,48.2,67.4,8.5,7.7,14.450000000000001,91.3,114.55000000000001,DEN,0.606,0.5635,0.28150000000000003,0.366,25.85,84.3,54.8,54.6,15.9,5.449999999999999,14.7,115.30000000000001,95.85
201112280GSW,NYK,0.5385,0.48150000000000004,0.28500000000000003,0.40800000000000003,16.1,67.5,41.400000000000006,51.1,8.8,7.75,15.399999999999999,100.65,107.44999999999999,GSW,0.512,0.4696666666666667,0.21966666666666668,0.336,27.53333333333333,75.96666666666667,52.133333333333326,57.1,11.700000000000001,10.2,12.800000000000002,101.73333333333333,100.63333333333333
201112280SAS,LAC,0.5225,0.47250000000000003,0.277,0.4575,25.6,68.94999999999999,44.2,59.05,9.45,10.649999999999999,10.600000000000001,108.15,111.55,SAS,0.575,0.54,0.3065,0.219,26.299999999999997,75.9,52.849999999999994,62.85,8.55,4.75,13.25,114.35,93.55
201112280PHO,PHI,0.556,0.5235000000000001,0.21350000000000002,0.219,24.65,75.44999999999999,51.85,53.1,9.1,5.95,13.8,108.8,99.65,PHO,0.471,0.4255,0.2235,0.22999999999999998,21.85,72.69999999999999,46.849999999999994,58.7,6.75,4.55,12.75,93.6,105.3
201112280NOH,BOS,0.5573333333333333,0.5133333333333333,0.18266666666666667,0.338,24.566666666666666,74.83333333333333,47.6,60.366666666666674,7.033333333333334,10.6,17.066666666666666,103.39999999999999,114.33333333333333,NOH,0.5105,0.4685,0.1775,0.29100000000000004,30.0,74.0,53.8,36.5,9.3,14.3,10.95,106.45,94.45
201112280MEM,OKC,0.5569999999999999,0.48833333333333334,0.26466666666666666,0.41733333333333333,22.7,69.9,48.56666666666666,56.133333333333326,6.3999999999999995,9.466666666666667,13.766666666666667,107.26666666666665,101.89999999999999,MEM,0.486,0.444,0.14,0.3195,33.05,72.35,53.8,45.55,7.6,7.55,16.7,97.15,105.75
201112290OKC,DAL,0.5123333333333334,0.45966666666666667,0.3283333333333333,0.318,20.166666666666668,72.23333333333333,43.93333333333334,66.46666666666665,12.0,2.6,14.6,98.76666666666667,110.56666666666668,OKC,0.5865,0.525,0.254,0.44,22.025,69.825,48.925,54.949999999999996,6.9,10.225000000000001,16.625,107.85,103.3
201112290POR,DEN,0.5713333333333334,0.5173333333333333,0.26433333333333336,0.37033333333333335,19.400000000000002,82.66666666666667,49.03333333333333,52.6,15.733333333333334,4.766666666666667,11.966666666666667,109.5,99.39999999999999,POR,0.547,0.498,0.22033333333333335,0.2856666666666667,28.8,79.83333333333333,55.06666666666666,58.199999999999996,6.866666666666666,11.633333333333333,13.766666666666666,108.63333333333333,96.26666666666667
201112290HOU,SAS,0.5223333333333333,0.48900000000000005,0.26533333333333337,0.21766666666666667,30.866666666666664,72.23333333333333,51.9,53.333333333333336,7.233333333333334,7.133333333333333,12.333333333333334,108.86666666666667,102.7,HOU,0.5509999999999999,0.5175000000000001,0.3175,0.1985,31.3,71.65,51.95,60.5,6.3,9.35,9.9,114.3,107.85
201112290SAC,CHI,0.521,0.494,0.204,0.22933333333333336,30.8,71.60000000000001,51.800000000000004,54.5,8.5,6.366666666666667,15.833333333333334,104.10000000000001,103.06666666666666,SAC,0.49466666666666664,0.4643333333333333,0.21333333333333335,0.38166666666666665,31.166666666666668,68.43333333333334,48.833333333333336,39.43333333333334,4.7,5.733333333333333,13.233333333333334,101.60000000000001,109.89999999999999
201112290LAL,NYK,0.5196666666666666,0.4403333333333334,0.2993333333333334,0.476,17.7,71.43333333333334,42.400000000000006,57.866666666666674,10.1,8.666666666666666,14.399999999999999,98.66666666666667,109.76666666666665,LAL,0.5335000000000001,0.49324999999999997,0.20925,0.32525,29.025,71.17500000000001,52.275,58.775000000000006,7.525,12.15,12.675,107.80000000000001,98.225
201112300MIL,WAS,0.4565,0.4115,0.21,0.255,16.7,71.25,41.400000000000006,58.3,10.2,7.6,14.3,88.15,109.05,MIL,0.5296666666666666,0.4923333333333333,0.23933333333333337,0.2763333333333333,25.066666666666666,71.13333333333334,49.06666666666666,62.833333333333336,8.333333333333334,7.433333333333334,13.666666666666666,103.16666666666667,95.10000000000001
201112300BOS,DET,0.49433333333333335,0.452,0.23833333333333337,0.20200000000000004,26.399999999999995,67.5,45.4,53.43333333333334,7.366666666666667,4.266666666666667,13.733333333333334,100.3,115.66666666666667,BOS,0.57725,0.52875,0.19675,0.3245,22.9,73.025,47.25,63.12500000000001,6.550000000000001,10.325,15.725000000000001,108.15,112.85
201112300IND,CLE,0.5333333333333333,0.49433333333333335,0.22999999999999998,0.33166666666666667,30.266666666666666,70.2,50.23333333333333,56.06666666666666,8.366666666666667,5.8,14.199999999999998,106.3,105.5,IND,0.47100000000000003,0.41333333333333333,0.15866666666666665,0.2996666666666667,31.933333333333334,78.86666666666667,54.43333333333334,55.56666666666666,9.933333333333334,11.700000000000001,12.4,98.53333333333335,89.93333333333332
201112300CHA,ORL,0.535,0.5053333333333333,0.31466666666666665,0.24233333333333332,25.76666666666667,76.2,50.53333333333333,55.13333333333333,4.033333333333333,8.366666666666667,12.633333333333333,109.23333333333333,100.73333333333333,CHA,0.4903333333333333,0.4583333333333333,0.20733333333333334,0.21866666666666668,31.866666666666664,79.33333333333334,55.53333333333333,63.6,5.133333333333334,9.233333333333334,15.066666666666668,97.76666666666667,105.73333333333333
201112300UTA,PHI,0.5543333333333335,0.5176666666666667,0.19866666666666669,0.27166666666666667,22.399999999999995,76.49999999999999,51.03333333333333,52.53333333333333,8.566666666666666,5.566666666666666,13.133333333333335,108.0,103.0,UTA,0.48833333333333334,0.4446666666666667,0.18333333333333335,0.3076666666666667,24.96666666666667,75.33333333333333,49.0,61.13333333333333,8.533333333333333,9.833333333333334,13.133333333333335,97.43333333333334,111.83333333333333
