GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201210300MIA,BOS,0.613,0.56,0.173,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,113.2,127.0,107.0,MIA,0.645,0.595,0.203,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,127.0,113.2,120.0
201210300CLE,WAS,0.425,0.4,0.356,0.222,33.3,53.8,41.9,81.3,12.5,16.9,10.8,95.5,106.9,84.0,CLE,0.53,0.5,0.253,0.278,46.2,66.7,58.1,61.1,8.0,8.6,18.4,106.9,95.5,94.0
201210300LAL,DAL,0.533,0.5,0.176,0.212,22.5,67.4,46.5,55.0,9.9,7.8,10.6,108.7,99.9,99.0,LAL,0.502,0.513,0.169,0.403,32.6,77.5,53.5,63.2,6.6,7.1,13.4,99.9,108.7,91.0
201210310TOR,IND,0.529,0.506,0.141,0.205,25.0,71.2,52.3,59.5,3.3,13.5,17.5,98.8,96.6,90.0,TOR,0.443,0.396,0.187,0.209,28.8,75.0,47.7,54.5,13.2,11.9,9.1,96.6,98.8,88.0
201210310PHI,DEN,0.404,0.398,0.205,0.125,32.7,73.1,53.5,57.6,9.7,8.3,17.7,80.8,90.4,75.0,PHI,0.446,0.394,0.294,0.247,26.9,67.3,46.5,60.0,14.0,15.7,13.7,90.4,80.8,84.0
201210310DET,HOU,0.589,0.557,0.342,0.291,31.6,76.7,55.6,71.8,12.7,4.8,18.3,111.0,101.5,105.0,DET,0.531,0.481,0.203,0.329,23.3,68.4,44.4,60.0,12.7,7.7,15.0,101.5,111.0,96.0
201210310CHI,SAC,0.478,0.44,0.202,0.19,25.6,67.4,46.5,41.2,10.5,7.1,17.3,91.6,98.0,87.0,CHI,0.497,0.43,0.114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,98.0,91.6,93.0
201210310POR,LAL,0.5589999999999999,0.5345,0.20950000000000002,0.4235,37.75,76.25,56.75,60.75,6.5,5.15,17.6,106.5,116.2,106.0,POR,0.608,0.56,0.241,0.337,25.0,57.1,40.0,45.2,10.7,9.3,11.2,123.7,113.1,116.0
201210310UTA,DAL,0.51,0.47050000000000003,0.2175,0.259,19.4,64.45,43.05,58.75,8.95,7.25,12.399999999999999,101.15,106.2,94.0,UTA,0.526,0.461,0.157,0.472,38.5,83.7,60.4,63.2,10.0,12.7,11.5,112.5,93.6,113.0
201210310LAC,MEM,0.464,0.395,0.163,0.349,35.4,77.1,53.0,72.7,14.4,6.8,15.4,94.5,103.7,92.0,LAC,0.582,0.547,0.203,0.392,22.9,64.6,47.0,65.8,12.3,12.5,20.2,103.7,94.5,101.0
201210310NOH,SAS,0.541,0.513,0.25,0.325,22.7,78.6,50.0,57.9,9.6,12.7,14.1,105.8,101.6,99.0,NOH,0.527,0.463,0.213,0.288,21.4,77.3,50.0,74.3,7.5,10.0,12.6,101.6,105.8,95.0
201210310PHO,GSW,0.453,0.413,0.198,0.267,34.0,74.4,52.7,57.6,9.6,5.1,15.8,92.8,90.6,87.0,PHO,0.474,0.425,0.263,0.275,25.6,66.0,47.3,50.0,10.7,17.4,16.7,90.6,92.8,85.0
201211010SAS,OKC,0.482,0.422,0.221,0.299,26.7,85.7,55.2,62.1,6.6,8.3,17.1,92.2,94.4,84.0,SAS,0.5205,0.494,0.2455,0.264,18.5,75.94999999999999,47.4,67.5,9.75,9.7,13.6,100.1,96.9,86.0
201211020BOS,MIL,0.542,0.512,0.209,0.14,26.8,85.4,56.1,65.0,12.7,8.3,16.5,104.4,92.8,99.0,BOS,0.571,0.52,0.181,0.3285,16.5,80.2,48.55,64.1,6.85,4.550000000000001,16.25,103.0,115.7,88.0
201211020ORL,DEN,0.43400000000000005,0.4105,0.2575,0.223,31.35,73.15,51.5,63.2,7.55,7.65,15.2,88.85,100.75,89.0,ORL,0.543,0.517,0.174,0.209,26.8,70.0,50.5,57.1,8.7,13.8,10.5,111.1,96.9,102.0
201211020CHA,IND,0.499,0.473,0.22699999999999998,0.265,28.05,75.2,54.099999999999994,58.55,4.35,10.55,16.35,97.05,96.5,89.0,CHA,0.471,0.406,0.224,0.282,20.8,68.9,44.1,58.1,10.7,15.8,9.5,96.4,95.3,90.0
201211020ATL,HOU,0.5595,0.512,0.3375,0.3065,37.900000000000006,80.0,58.650000000000006,64.85,10.45,4.0,17.65,111.45,103.1,109.0,ATL,0.551,0.512,0.259,0.2,16.7,55.8,38.3,57.5,12.3,6.7,12.3,104.7,111.9,102.0
201211020GSW,MEM,0.5145,0.4445,0.166,0.39549999999999996,30.2,77.3,52.8,67.8,12.0,6.75,13.9,103.0,102.25,104.0,GSW,0.495,0.46299999999999997,0.224,0.24,28.25,74.7,50.05,57.95,7.5,6.449999999999999,16.450000000000003,96.8,101.05,94.0
201211020NYK,MIA,0.5960000000000001,0.5545,0.2425,0.29400000000000004,16.4,76.94999999999999,48.4,56.3,6.5,9.25,14.7,111.0,115.4,84.0,NYK,0.574,0.542,0.429,0.179,27.7,80.0,50.0,75.0,11.3,0.0,11.7,117.6,95.0,104.0
201211020CLE,CHI,0.5985,0.5485,0.1295,0.4265,25.55,75.5,54.45,70.45,7.9,10.85,16.6,110.15,91.55,115.0,CLE,0.5015000000000001,0.478,0.253,0.31000000000000005,34.8,74.1,51.35,66.5,7.7,5.1499999999999995,17.1,99.2,108.9,86.0
201211020LAL,LAC,0.565,0.5235000000000001,0.2325,0.35650000000000004,22.7,72.3,48.15,64.5,12.600000000000001,10.1,15.25,108.1,98.15,105.0,LAL,0.5696666666666667,0.54,0.218,0.41966666666666663,31.833333333333332,76.66666666666667,54.73333333333333,55.199999999999996,6.833333333333333,7.2,18.366666666666667,104.93333333333334,114.96666666666665,95.0
201211020OKC,POR,0.535,0.485,0.26649999999999996,0.3035,23.5,68.8,44.2,49.150000000000006,7.449999999999999,4.65,10.55,110.45,112.55,92.0,OKC,0.5349999999999999,0.484,0.16949999999999998,0.36,23.1,81.85,53.400000000000006,54.150000000000006,4.35,12.100000000000001,14.450000000000001,102.1,95.80000000000001,106.0
201211020MIN,SAC,0.44699999999999995,0.40800000000000003,0.191,0.185,24.5,66.35,45.65,47.150000000000006,9.05,6.4,13.8,89.25,98.95,80.0,MIN,0.447,0.379,0.195,0.414,34.7,76.6,55.2,53.1,4.3,13.7,9.7,99.9,86.9,92.0
201211020NOH,UTA,0.501,0.46599999999999997,0.243,0.3065,36.65,76.85,55.8,58.75,9.15,10.85,12.45,106.95,98.65,86.0,NOH,0.516,0.47550000000000003,0.193,0.23049999999999998,25.7,71.25,49.4,68.25,7.9,8.5,12.35,102.65,103.6,88.0
201211020PHO,DET,0.49150000000000005,0.45699999999999996,0.1735,0.27,22.3,67.15,43.65,57.05,7.449999999999999,6.95,11.7,98.8,105.2,89.0,PHO,0.4715,0.4355,0.1915,0.21350000000000002,29.85,72.35,52.2,43.75,8.6,11.95,13.8,95.0,94.44999999999999,92.0
201211030MIL,CLE,0.512,0.48733333333333334,0.233,0.323,30.166666666666668,79.96666666666665,51.96666666666667,60.56666666666666,8.166666666666666,3.433333333333333,15.9,100.33333333333333,107.83333333333333,102.0,MIL,0.5685,0.544,0.2565,0.203,17.55,82.25,51.45,71.5,10.399999999999999,10.850000000000001,15.5,105.05000000000001,97.69999999999999,105.0
