DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,Efg%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
10/29/2013,201310290IND,ORL,240,0.447,0.435,0.204,0.108,27.7,72.2,47,47.2,10.5,11.1,14.9,100,91.6,102.1,IND,240,0.57,0.528,0.239,0.451,27.8,72.3,53,50,4.2,24.3,19,100,102.1,91.6
10/29/2013,201310290MIA,CHI,240,0.51,0.464,0.313,0.277,23.9,85.7,50.6,65.7,11.3,7.7,16.2,100,97.9,110.2,MIA,240,0.631,0.59,0.278,0.403,14.3,76.1,49.4,70.3,10.3,12.3,17.5,100,110.2,97.9
10/29/2013,201310290LAL,LAC,240,0.553,0.542,0.253,0.277,22.7,62.5,43.5,65.9,11,6.3,14.7,100,102.6,115.6,LAL,240,0.551,0.527,0.312,0.301,37.5,77.3,56.5,54.8,8,9.7,15.3,100,115.6,102.6
10/30/2013,201310300TOR,BOS,240,0.552,0.508,0.197,0.439,19.4,57.8,40.7,46.9,10.9,10.1,21.8,100,95.1,101.6,TOR,240,0.484,0.471,0.198,0.267,42.2,80.6,59.3,39.5,9.8,11.3,15,100,101.6,95.1
10/30/2013,201310300PHI,MIA,240,0.606,0.588,0.471,0.153,17.9,75,43.7,71.4,7,0,17.3,100,110.8,114.8,PHI,240,0.629,0.588,0.263,0.3,25,82.1,56.3,55.8,16.1,2.2,16.6,100,114.8,110.8
10/30/2013,201310300DET,WAS,240,0.554,0.5,0.321,0.41,28.9,67.6,46.3,67.6,5.3,5.6,14.8,100,108,119.7,DET,240,0.611,0.558,0.308,0.423,32.4,71.1,53.7,61.5,6.4,7.5,16.3,100,119.7,108
10/30/2013,201310300CLE,BRK,240,0.508,0.457,0.293,0.293,22,63.6,43.5,72.7,8.7,11.6,13.9,100,101.8,106.2,CLE,240,0.495,0.446,0.179,0.405,36.4,78,56.5,60,7.6,5.2,10,100,106.2,101.8
10/30/2013,201310300NYK,MIL,240,0.523,0.493,0.216,0.162,15.2,81.3,47.7,55.9,10.6,6.9,22.5,100,88.3,95.7,NYK,240,0.573,0.528,0.183,0.239,18.8,84.8,52.3,47.2,12.8,10.3,21.9,100,95.7,88.3
10/30/2013,201310300GSW,LAL,240,0.478,0.438,0.202,0.236,18,81.1,44.8,54.3,4.9,6.8,14,100,91.7,121.9,GSW,240,0.65,0.622,0.314,0.267,18.9,82,55.2,73.9,7.8,12.7,13.5,100,121.9,91.7
10/30/2013,201310300HOU,CHA,240,0.42,0.389,0.111,0.222,23.1,64.1,40.7,42.4,8.9,11.8,6.6,100,92.7,107.2,HOU,240,0.555,0.533,0.329,0.316,35.9,76.9,59.3,47.2,4.5,7.5,17.2,100,107.2,92.7
10/30/2013,201310300UTA,OKC,240,0.529,0.444,0.235,0.407,22.7,77.8,50.6,27.3,15.1,7,12,100,101.9,98.8,UTA,240,0.531,0.494,0.278,0.38,22.2,77.3,49.4,69.4,6.1,8.1,19.3,100,98.8,101.9
