DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,PTS
2015-10-27,201510270ATL,DET,240,.493,.448,.302,.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,100.0,111.2,98.6,106,ATL,240,.530,.500,.329,.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,100.0,98.6,111.2,94
2015-10-27,201510270CHI,CLE,240,.468,.452,.309,.181,21.6,84.8,51.5,68.4,5.0,10.3,9.0,100.0,95.5,97.5,95,CHI,240,.499,.466,.218,.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,100.0,97.5,95.5,97
2015-10-27,201510270GSW,NOP,240,.501,.458,.217,.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,100.0,94.9,110.9,95,GSW,240,.525,.474,.313,.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,100.0,110.9,94.9,111
2015-10-28,201510280TOR,IND,240,.497,.424,.267,.360,16.3,78.0,44.4,71.9,13.5,4.8,11.5,100.0,95.5,102.3,99,TOR,240,.545,.494,.225,.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,100.0,102.3,95.5,106
2015-10-28,201510280MIL,NYK,240,.563,.500,.247,.376,39.6,62.5,51.0,57.1,11.6,10.3,9.2,100.0,128.2,101.9,122,MIL,240,.487,.401,.209,.360,37.5,60.4,49.0,56.7,7.4,5.7,15.3,100.0,101.9,128.2,97
2015-10-28,201510280BRK,CHI,240,.662,.628,.359,.256,14.7,68.0,46.4,47.6,9.1,3.6,18.0,100.0,116.1,101.0,115,BRK,240,.475,.419,.097,.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,100.0,101.0,116.1,100
2015-10-28,201510280DET,UTA,240,.516,.480,.160,.280,10.3,81.0,46.9,42.9,4.5,9.1,12.5,100.0,96.9,102.4,87,DET,240,.517,.453,.257,.459,19.0,89.7,53.1,53.3,2.2,6.3,10.1,100.0,102.4,96.9,92
2015-10-28,201510280ORL,WAS,240,.463,.435,.333,.298,27.8,66.7,46.7,51.5,8.3,12.2,15.2,100.0,91.6,90.5,88,ORL,240,.413,.395,.260,.120,33.3,72.2,53.3,54.1,9.4,10.7,11.7,100.0,90.5,91.6,87
2015-10-28,201510280MIA,CHO,240,.486,.429,.286,.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,100.0,102.4,113.2,94,MIA,240,.632,.575,.274,.288,5.9,78.0,48.8,63.9,5.4,11.7,13.6,100.0,113.2,102.4,104
2015-10-28,201510280BOS,PHI,240,.510,.452,.265,.277,31.1,76.2,52.9,35.3,11.1,9.8,19.1,100.0,95.5,112.6,95,BOS,240,.578,.506,.282,.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,100.0,112.6,95.5,112
