DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
10/16/2018,201810160BOS,PHI,240,0.448,0.42,0.299,0.264,12.2,77.4,46.1,52.9,7.7,8.3,14.1,100,83.4,100.7,BOS,240,0.509,0.49,0.381,0.144,22.6,87.8,53.9,50,6.7,8.2,11.9,100,100.7,83.4
10/16/2018,201810160GSW,OKC,240,0.466,0.418,0.407,0.407,28.1,63,43.7,63.6,11.7,8.7,11.5,100,97.7,105.6,GSW,240,0.525,0.479,0.274,0.189,37,71.9,56.3,66.7,6.8,13,16.9,100,105.6,97.7
10/17/2018,201810170TOR,CLE,240,0.509,0.441,0.224,0.459,28.6,81.4,53.3,50,4,0,13.5,100,103.7,115.6,TOR,240,0.575,0.565,0.359,0.217,18.6,71.4,46.7,46.7,6,10.6,8.2,100,115.6,103.7
10/17/2018,201810170ORL,MIA,240,0.473,0.438,0.34,0.227,27.5,73.1,50.5,42.1,3.9,7.2,13,100,97.6,100.5,ORL,240,0.483,0.452,0.266,0.33,26.9,72.5,49.5,51.3,6.8,10.9,10,100,100.5,97.6
10/17/2018,201810170DET,BRK,240,0.545,0.518,0.329,0.268,13.5,70.8,45.9,70,9,7.4,15.6,100,100,103,DET,240,0.506,0.457,0.261,0.239,29.2,86.5,54.1,53.8,5,9.1,12.1,100,103,100
10/17/2018,201810170CHO,MIL,240,0.602,0.576,0.4,0.235,25.6,83.6,58.2,61.9,4.9,7.4,18.3,100,110.2,109.2,CHO,240,0.551,0.533,0.413,0.239,16.4,74.4,41.8,51.2,7.8,17.6,9.8,100,109.2,110.2
10/17/2018,201810170IND,MEM,240,0.431,0.357,0.345,0.333,13.7,61.8,32.9,64,11.8,5.3,6.8,100,88.8,118.7,IND,240,0.626,0.627,0.313,0.157,38.2,86.3,67.1,61.7,2.1,12.7,18.4,100,118.7,88.8
10/17/2018,201810170NYK,ATL,240,0.546,0.511,0.4,0.2,16.3,79.2,49.5,46.3,6.2,4.5,19.7,100,94.3,111,NYK,240,0.559,0.515,0.333,0.313,20.8,83.7,50.5,46.7,10.6,11.1,11.8,100,111,94.3
10/17/2018,201810170HOU,NOP,240,0.608,0.582,0.255,0.224,32.6,83.3,59.3,69.2,7.8,6.8,10,100,127.2,108.8,HOU,240,0.546,0.511,0.522,0.261,16.7,67.4,40.7,53.8,7.8,9.6,9.7,100,108.8,127.2
10/17/2018,201810170LAC,DEN,240,0.507,0.425,0.276,0.483,26.9,82.4,54.4,60.6,6.1,15,8.7,100,108.2,99.1,LAC,240,0.497,0.443,0.318,0.273,17.6,73.1,45.6,60,3,14.3,10.9,100,99.1,108.2
