DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/16/2011,201104160ORL,ATL,240,0.594,0.554,0.189,0.392,15.6,64.9,42,50,9,1.9,9.4,100,115.6,104.4,ORL,240,0.527,0.493,0.293,0.4,35.1,84.4,58,44.1,3.4,5,16.9,100,104.4,115.6
4/16/2011,201104160MIA,PHI,240,0.486,0.453,0.224,0.176,24.5,64.3,42.9,62.9,9.3,3.5,8,100,103.4,112.7,MIA,240,0.532,0.446,0.23,0.527,35.7,75.5,57.1,48.4,3.5,7.6,12.5,100,112.7,103.4
4/16/2011,201104160CHI,IND,240,0.541,0.524,0.214,0.202,31.7,50,41,53.8,9.4,9.7,9.9,100,116.7,122.6,CHI,240,0.541,0.476,0.244,0.39,50,68.3,59,50,7.1,13.6,12.7,100,122.6,116.7
4/16/2011,201104160DAL,POR,240,0.496,0.474,0.211,0.171,27.5,74.4,50.6,62.9,8.6,6.4,13.7,100,100,109.9,DAL,240,0.565,0.485,0.288,0.439,25.6,72.5,49.4,51.9,6.2,11.7,14.2,100,109.9,100
4/17/2011,201104170BOS,NYK,240,0.5,0.474,0.295,0.205,31,58.3,43.6,48.5,6,13.4,14.1,100,102,104.4,BOS,240,0.495,0.469,0.163,0.225,41.7,69,56.4,57.1,6,9.1,15.4,100,104.4,102
4/17/2011,201104170OKC,DEN,240,0.563,0.532,0.208,0.429,14.3,80.6,47.9,59,9.7,6.9,10.7,100,110.5,114.8,OKC,240,0.599,0.552,0.247,0.364,19.4,85.7,52.1,39.5,4.3,13.1,11,100,114.8,110.5
4/17/2011,201104170SAS,MEM,240,0.619,0.597,0.149,0.493,14.7,75,48.7,59.5,2.2,9.1,16.4,100,112.8,109.5,SAS,240,0.54,0.443,0.214,0.671,25,85.3,51.3,46.4,7.8,5.3,9.9,100,109.5,112.8
4/17/2011,201104170LAL,NOH,240,0.583,0.544,0.139,0.418,11.1,76.3,44.6,58.5,8.9,1.6,3.1,100,120.6,110.7,LAL,240,0.565,0.5,0.176,0.446,23.7,88.9,55.4,50,1.1,7.4,12.8,100,110.7,120.6
4/18/2011,201104180MIA,PHI,240,0.416,0.38,0.177,0.253,24,77.8,46.5,66.7,7.1,5.3,12,100,85.8,110.5,MIA,240,0.555,0.493,0.208,0.403,22.2,76,53.5,47.1,8.2,10.8,10.6,100,110.5,85.8
4/18/2011,201104180CHI,IND,240,0.506,0.455,0.221,0.351,19.6,54.5,36.7,68.8,13.8,10.1,16.1,100,95.7,102,CHI,240,0.49,0.416,0.169,0.41,45.5,80.4,63.3,46.9,11.7,8.3,17.7,100,102,95.7
4/19/2011,201104190BOS,NYK,240,0.456,0.4,0.278,0.3,41.7,78.6,58.9,43.8,9.1,6.9,10.5,100,105.5,108.9,BOS,240,0.533,0.506,0.133,0.193,21.4,58.3,41.1,53.8,9.1,7.7,10,100,108.9,105.5
4/19/2011,201104190ORL,ATL,240,0.463,0.438,0.247,0.21,28.9,56.5,42.9,46.9,8.1,12.7,14.5,100,95.2,102.1,ORL,240,0.469,0.378,0.295,0.462,43.5,71.1,57.1,33.3,10.4,3.3,14.6,100,102.1,95.2
4/19/2011,201104190DAL,POR,240,0.571,0.538,0.212,0.409,20.6,75,50,62.5,2.4,7,13.4,100,109,123.7,DAL,240,0.578,0.539,0.25,0.342,25,79.4,50,54.1,7.3,5.8,6.4,100,123.7,109
4/20/2011,201104200OKC,DEN,240,0.522,0.442,0.232,0.536,11.9,60.5,36.5,44.4,7.9,1.9,11.4,100,99.9,119,OKC,240,0.562,0.5,0.366,0.341,39.5,88.1,63.5,52.8,6.7,5.7,13.7,100,119,99.9
4/20/2011,201104200SAS,MEM,240,0.449,0.415,0.159,0.227,22.4,78.3,49.5,48.6,9.4,12.5,12.6,100,90.8,97.1,SAS,240,0.534,0.486,0.233,0.438,21.7,77.6,50.5,65.6,9.4,10.8,17.1,100,97.1,90.8
