DATE,GAME_ID,AWAY,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,HOME,MP,TS%,Efg%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
4/19/2014,201404190TOR,BRK,240,0.512,0.45,0.3,0.338,15.9,78.9,45.1,47.1,10,4.2,8,100,104.9,97.1,TOR,240,0.53,0.451,0.324,0.352,21.1,84.1,54.9,78.6,3.3,7.1,17.2,100,97.1,104.9
4/19/2014,201404190IND,ATL,240,0.569,0.507,0.395,0.382,22,70.2,47.7,39.4,6.7,11.7,11.9,100,112.4,103.5,IND,240,0.51,0.475,0.259,0.284,29.8,78,52.3,55.9,8.9,8.7,14.1,100,103.5,112.4
4/19/2014,201404190LAC,GSW,240,0.54,0.506,0.3,0.278,36.6,67.3,53.3,65,5,9.5,17.2,100,108.8,104.8,LAC,240,0.523,0.482,0.259,0.412,32.7,63.4,46.7,66.7,13,11.1,14.5,100,104.8,108.8
4/19/2014,201404190OKC,MEM,240,0.411,0.374,0.121,0.341,22.8,80,44.6,60.6,7.5,6.7,5.4,100,92,106.9,OKC,240,0.555,0.474,0.211,0.421,20,77.2,55.4,64.7,3.2,12.5,11.8,100,106.9,92
4/20/2014,201404200MIA,CHA,240,0.522,0.506,0.266,0.152,20,85.7,53.7,50,5.7,3.8,13.4,100,100.7,113.3,MIA,240,0.566,0.533,0.303,0.342,14.3,80,46.3,40,5.7,5.2,7.4,100,113.3,100.7
4/20/2014,201404200CHI,WAS,240,0.57,0.514,0.149,0.473,25.7,73.5,53.6,58.3,5.8,8.2,10.1,100,117.5,107.1,CHI,240,0.503,0.451,0.247,0.321,26.5,74.3,46.4,38.2,5.8,4.8,8,100,107.1,117.5
4/20/2014,201404200HOU,POR,265,0.534,0.479,0.278,0.402,31.5,62.7,47.8,33.3,6.5,8.6,9.5,100,113.8,112,HOU,265,0.489,0.448,0.333,0.381,37.3,68.5,52.2,37.2,4.7,10,8.9,100,112,113.8
4/20/2014,201404200SAS,DAL,240,0.468,0.447,0.212,0.153,18.4,79.5,45.5,42.9,5.6,7.8,8.1,100,95.5,101.1,SAS,240,0.496,0.451,0.21,0.272,20.5,81.6,54.5,40,6.7,4.5,9.9,100,101.1,95.5
4/21/2014,201404210OKC,MEM,265,0.569,0.517,0.115,0.276,26.7,68.6,49,69.8,5.4,4.8,8.4,100,119.8,113.4,OKC,265,0.505,0.446,0.323,0.269,31.4,73.3,51,54.1,6.5,13,7.1,100,113.4,119.8
4/21/2014,201404210LAC,GSW,240,0.558,0.5,0.25,0.355,34.2,71.9,51.4,50,8.1,6.9,22.8,100,99.3,139.9,LAC,240,0.701,0.639,0.301,0.422,28.1,65.8,48.6,61.7,15.2,8.8,11.7,100,139.9,99.3
