GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201710170CLE,Boston Celtics,38.22222222,84.4,11.51111111,33.57777778,18.24444444,22.86666667,8.311111111,32.51111111,40.82222222,23.93333333,7.6,3.711111111,11.77777778,21.31111111,106.2,99,Cleveland Cavaliers,41.09090909,84.93181818,12.86363636,33.22727273,17.45454545,23.88636364,9.590909091,35.13636364,44.72727273,24.34090909,6.795454545,4.5,12.75,17.36363636,112.5,102
201710170GSW,Houston Rockets,39.95454545,86.61363636,13.88636364,39.02272727,19.86363636,25.5,10.5,33,43.5,23.88636364,8,4.204545455,15.29545455,21.02272727,113.6590909,122,Golden State Warriors,44.47727273,87.13636364,12.72727273,30.86363636,17.04545455,21.88636364,9.431818182,36.5,45.93181818,31.93181818,8.909090909,7.886363636,14.52272727,18.5,118.7272727,121
201710180BOS,Milwaukee Bucks,38.11111111,81.44444444,8.933333333,24.11111111,15.88888889,21.13333333,8.955555556,31.77777778,40.73333333,23.66666667,7.533333333,5.466666667,13.48888889,20.26666667,101.0444444,108,Boston Celtics,39.13043478,85.93478261,12.63043478,33.7826087,18.23913043,22.67391304,9.956521739,32.7826087,42.73913043,26.84782609,7.717391304,4.52173913,13.2826087,19.69565217,109.1304348,100
201710180DAL,Atlanta Hawks,37.22222222,83.55555556,8.777777778,26.02222222,17.66666667,23.95555556,9.711111111,34.8,44.51111111,22.28888889,7.733333333,4.866666667,15.28888889,18.17777778,100.8888889,117,Dallas Mavericks,36.30952381,82.02380952,10.69047619,29.71428571,16.33333333,19.85714286,8.142857143,32.4047619,40.54761905,20.97619048,7.547619048,3.761904762,11.61904762,18.35714286,99.64285714,111
201710180DET,Charlotte Hornets,37.0952381,85.38095238,10.0952381,28.80952381,18.5952381,22.28571429,8.5,34.85714286,43.35714286,21.85714286,7.071428571,4.166666667,12.07142857,17.35714286,102.8809524,90,Detroit Pistons,40.5,89.28571429,8.119047619,23.16666667,13.83333333,19.54761905,11.04761905,36.11904762,47.16666667,22.9047619,7.476190476,3.714285714,11.30952381,18,102.952381,102
201710180IND,Brooklyn Nets,38.4047619,84.83333333,10.80952381,31.23809524,20.0952381,25.30952381,8.095238095,34.66666667,42.76190476,21.76190476,7.357142857,4.523809524,15.78571429,21.28571429,107.7142857,131,Indiana Pacers,40.56818182,85.86363636,8.977272727,23.84090909,17.59090909,21.81818182,8.977272727,33.75,42.72727273,21.95454545,8.045454545,5.886363636,12.27272727,19.09090909,107.7045455,140
201710180MEM,New Orleans Pelicans,38.04761905,85.76190476,8.880952381,25.38095238,15.83333333,21.61904762,8.619047619,33.71428571,42.33333333,21.73809524,7.476190476,5.166666667,13.02380952,18.4047619,100.8095238,91,Memphis Grizzlies,35.71111111,83,9.088888889,25.42222222,19.11111111,24.28888889,11.26666667,32.44444444,43.71111111,20.91111111,7.577777778,4.888888889,12.77777778,22.64444444,99.62222222,103
201710180ORL,Miami Heat,38.19047619,86.85714286,9.166666667,26.47619048,14.54761905,20.0952381,11.4047619,32.23809524,43.64285714,21.54761905,7.30952381,5.69047619,12.23809524,20.5,100.0952381,109,Orlando Magic,37.73809524,86.54761905,8.357142857,25.28571429,16.76190476,22.54761905,10.38095238,34.02380952,44.4047619,21.57142857,6.952380952,5.30952381,12.52380952,19.11904762,100.5952381,116
201710180PHO,Portland Trail Blazers,38.43181818,85.84090909,9.772727273,26.95454545,19.22727273,24.09090909,10.22727273,33.47727273,43.70454545,20.04545455,7.068181818,5.181818182,13.63636364,22.09090909,105.8636364,124,Phoenix Suns,40.19047619,88.73809524,7.80952381,23.23809524,20.69047619,26.23809524,12.33333333,34.02380952,46.35714286,19.78571429,7.857142857,5.595238095,15,24.30952381,108.8809524,76
201710180SAC,Houston Rockets,39.8,86.53333333,13.84444444,39.15555556,20.02222222,25.57777778,10.53333333,32.97777778,43.51111111,23.77777778,7.977777778,4.177777778,15.26666667,20.86666667,113.4666667,105,Sacramento Kings,38.30952381,81.42857143,9.452380952,24.5,18.85714286,23.64285714,8.047619048,32.4047619,40.45238095,22.52380952,7.666666667,3.714285714,14.38095238,20.14285714,104.9285714,100
201710180SAS,Minnesota Timberwolves,39.4047619,85.57142857,6.80952381,20.47619048,18.80952381,23.42857143,11.61904762,30.38095238,42,22.83333333,7.857142857,4.619047619,13,19.54761905,104.4285714,99,San Antonio Spurs,39.2,82.53333333,9.6,23.6,17.8,22.33333333,9.266666667,34.13333333,43.4,24.86666667,7.933333333,6.133333333,12.75555556,17.66666667,105.8,107
201710180UTA,Denver Nuggets,40.14285714,87.80952381,10.30952381,29.11904762,18.64285714,23.73809524,12.21428571,34.4047619,46.61904762,22.73809524,6.80952381,4.023809524,14.97619048,19.42857143,109.2380952,96,Utah Jazz,36.66666667,77.91111111,10.17777778,26.42222222,17.73333333,23.91111111,8.644444444,33.88888889,42.53333333,19.97777778,6.8,4.666666667,12.75555556,18.53333333,101.2444444,106
201710180WAS,Philadelphia 76ers,38.14285714,86.26190476,9.976190476,29.54761905,16.52380952,21.61904762,10.0952381,32.4047619,42.5,22.78571429,8.952380952,4.80952381,16.14285714,22.28571429,102.7857143,115,Washington Wizards,41.4,86.44444444,9.577777778,24.2,18.13333333,22.64444444,10.68888889,32.22222222,42.91111111,24.64444444,8.555555556,4.822222222,13.64444444,21.35555556,110.5111111,120
201710190LAL,Los Angeles Clippers,39.08888889,83.82222222,10.51111111,27.71111111,18.66666667,25.42222222,9.244444444,33.48888889,42.73333333,21.33333333,6.822222222,3.822222222,12.31111111,20.13333333,107.3555556,108,Los Angeles Lakers,40.4047619,87.33333333,9.166666667,25.33333333,17.21428571,22.97619048,11.5,32.64285714,44.14285714,22,8.238095238,3.761904762,14.04761905,19.80952381,107.1904762,92
201710190OKC,New York Knicks,38.73809524,89.61904762,8.357142857,24.71428571,17.5,22.02380952,12.16666667,33.28571429,45.45238095,21.92857143,6.976190476,5.547619048,13.16666667,21.14285714,103.3333333,84,Oklahoma City Thunder,40.97727273,87.09090909,8.681818182,25.38636364,18.90909091,25.81818182,11.52272727,34.79545455,46.31818182,21.81818182,8.136363636,5.136363636,14.70454545,20.11363636,109.5454545,105
201710190TOR,Chicago Bulls,38.75555556,86.08888889,7.888888889,23.62222222,16.73333333,21.17777778,11.42222222,34.02222222,45.44444444,21.64444444,7.444444444,4.644444444,13.68888889,18.24444444,102.1333333,100,Toronto Raptors,39.84444444,83.95555556,9.377777778,23.88888889,21.4,26.53333333,11.08888889,33.22222222,44.31111111,19.6,7.911111111,5.422222222,12.22222222,20.77777778,110.4666667,117
201710200BRK,Orlando Magic,39.0952381,87.54761905,8.952380952,26.92857143,15.23809524,20.23809524,9.30952381,32.73809524,42.04761905,23,7.261904762,4.404761905,13.4047619,19.66666667,102.3809524,121,Brooklyn Nets,37.61904762,85.95238095,10.57142857,31.80952381,19.0952381,24.38095238,9.69047619,35.42857143,45.11904762,21.0952381,7.238095238,4.880952381,16.23809524,20.80952381,104.9047619,126
201710200CHO,Atlanta Hawks,37.19565217,83.80434783,8.739130435,26.10869565,17.54347826,23.73913043,9.630434783,34.73913043,44.36956522,22.2173913,7.804347826,4.847826087,15.23913043,18.41304348,100.673913,91,Charlotte Hornets,38.11904762,85.07142857,10,28.64285714,20.4047619,25.61904762,9.023809524,35.19047619,44.21428571,23.95238095,6.738095238,5.285714286,10.23809524,15.80952381,106.6428571,109
201710200DAL,Sacramento Kings,37.5,83.07142857,8.523809524,23.26190476,16.85714286,22.45238095,9.571428571,32.5,42.07142857,22.30952381,7.571428571,4.166666667,13.9047619,20.45238095,100.3809524,93,Dallas Mavericks,36.18604651,81.86046512,10.69767442,29.79069767,16.30232558,19.88372093,8.11627907,32.3255814,40.44186047,20.93023256,7.558139535,3.837209302,11.62790698,18.23255814,99.37209302,88
201710200IND,Portland Trail Blazers,38.6,86.04444444,9.755555556,26.77777778,19.08888889,23.93333333,10.24444444,33.62222222,43.86666667,20.02222222,7.022222222,5.2,13.53333333,22.17777778,106.0444444,114,Indiana Pacers,40.44444444,85.68888889,8.866666667,23.71111111,17.68888889,22.06666667,8.911111111,33.73333333,42.64444444,21.8,7.888888889,5.844444444,12.26666667,19.04444444,107.4444444,96
201710200MIL,Cleveland Cavaliers,38.84090909,84.56818182,12.97727273,34.06818182,17.68181818,22.97727273,9.136363636,33.40909091,42.54545455,20.68181818,6.340909091,3.659090909,13.72727273,18.88636364,108.3409091,116,Milwaukee Bucks,38.93333333,81.71111111,8.666666667,23.26666667,18.22222222,23.44444444,8.511111111,31.08888889,39.6,24.17777778,8.688888889,5.022222222,13.24444444,20.33333333,104.7555556,97
