GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201510270ATL,DET,37,96,12,29,20,26,23,36,59,23,5,3,15,15,106,106,ATL,37,82,8,27,12,15,7,33,40,22,9,4,15,25,94,94
201510270CHI,CLE,38,94,9,29,10,17,11,39,50,26,5,7,10,21,95,95,CHI,37,87,7,19,16,23,7,40,47,13,6,10,13,22,97,97
201510270GSW,NOP,35,83,6,18,19,27,8,25,33,21,9,3,18,26,95,95,GSW,41,96,9,30,20,22,21,35,56,29,8,7,20,29,111,111
201510280BOS,PHI,34,83,7,22,20,23,14,32,46,12,11,6,22,22,95,95,BOS,39,85,8,24,26,27,10,31,41,31,10,7,17,23,112,112
201510280BRK,CHI,39.5,82.5,10.5,23.5,16.5,21.5,6,37,43,16.5,7.5,6.5,16,23,106,115,BRK,39,93,0,9,22,28,16,29,45,19,11,5,13,18,100,100
201510280DET,UTA,35,75,2,12,15,21,4,34,38,15,4,5,12,25,87,87,DET,33.5,85,9.5,24,22.5,30,15.5,35.5,51,19.5,3.5,3.5,12.5,17.5,99,92
201510280HOU,DEN,40,79,13,27,12,18,9,40,49,26,9,10,21,26,105,105,HOU,30,87,8,35,17,26,15,29,44,17,13,8,16,19,85,85
201510280LAL,MIN,38,83,5,20,31,37,6,33,39,24,3,4,8,26,112,112,LAL,35,90,9,34,32,35,12,36,48,18,2,4,13,29,111,111
201510280MEM,CLE,39.5,89,11,29,10.5,17,11.5,40.5,52,27.5,6,4.5,14.5,23,100.5,106,MEM,29,82,2,16,16,22,11,29,40,15,8,3,16,18,76,76
201510280MIA,CHO,33,84,6,24,22,29,11,32,43,16,4,1,8,16,94,94,MIA,36,73,12,20,20,21,2,39,41,23,5,7,13,25,104,104
201510280MIL,NYK,42,93,9,23,29,35,19,30,49,24,11,7,11,28,122,122,MIL,30,86,9,18,28,31,18,29,47,17,7,4,18,27,97,97
201510280OKC,SAS,45,93,5,15,11,13,7,29,36,22,11,9,13,18,106,106,OKC,42,86,7,19,21,22,11,34,45,21,7,4,19,19,112,112
201510280ORL,WAS,33,84,7,28,15,25,15,34,49,17,8,9,17,14,88,88,ORL,37,100,5,26,8,12,17,39,56,20,9,6,14,22,87,87
201510280PHO,DAL,40,85,10,21,21,31,6,42,48,24,7,3,8,25,111,111,PHO,34,87,6,24,21,33,13,40,53,15,3,3,18,30,95,95
201510280POR,NOP,35.5,87,8.5,25.5,15,22.5,6.5,29.5,36,20,8,2.5,14.5,21.5,94.5,94,POR,44,88,12,32,12,14,6,45,51,22,7,4,12,21,112,112
201510280SAC,LAC,42,80,6,19,21,31,6,36,42,20,8,9,15,19,111,111,SAC,41,94,11,24,11,18,12,37,49,24,8,3,16,27,104,104
201510280TOR,IND,32,86,9,23,26,31,8,32,40,23,14,3,13,30,99,99,TOR,36,80,7,18,27,39,9,41,50,19,8,2,20,24,106,106
201510290IND,MEM,35,82,4.5,16,19.5,25.5,11.5,29.5,41,20.5,10,4,15,21.5,94,112,IND,34.5,82,10.5,26.5,21.5,27.5,9,30,39,23,10.5,3.5,16.5,26,101,103
201510290LAC,DAL,37.5,91,8,25.5,16.5,23,10,41.5,51.5,23,5.5,2.5,10,25.5,99.5,88,LAC,40,83.5,7,25,20.5,32,7,40.5,47.5,20.5,7,8.5,11.5,18,107.5,104
201510290NYK,ATL,39.5,82.5,9,25.5,15,20.5,7,32.5,39.5,24,10,4,15,21.5,103,112,NYK,40,93,7.5,26,24,28,17.5,31,48.5,22.5,10.5,5.5,16,26,111.5,101
201510300ATL,CHO,34.5,86,9,27,16,21,12,36.5,48.5,19.5,5.5,3.5,13,18,94,94,ATL,38.33333333,82.66666667,8.666666667,24.66666667,15.66666667,21,7.333333333,34,41.33333333,23.66666667,9.666666667,4,15,20,101,97
201510300BOS,TOR,36,81,9,22,28.5,37,9,42.5,51.5,21,9.5,2.5,20.5,28.5,109.5,113,BOS,35.5,85,7.5,25,29,34,8.5,31,39.5,27,12,5,17,25.5,107.5,103
201510300CLE,MIA,34.5,75,9,20.5,20,21.5,4,35.5,39.5,22,5,7,13,22.5,98,92,CLE,39.33333333,88,9.333333333,27.66666667,13,18.33333333,12.33333333,38.66666667,51,26.66666667,5.333333333,4.333333333,13.33333333,21.66666667,101,102
201510300DEN,MIN,34,77,3.5,15.5,32,39,6.5,37.5,44,21,5,5,12.5,25,103.5,95,DEN,34.5,87,9,26,13.5,19,13,37,50,20.5,8,7,17.5,26.5,91.5,78
201510300DET,CHI,37.66666667,83,9.333333333,23,17.33333333,23,6.666666667,38.66666667,45.33333333,17,7.666666667,7,17,23.33333333,102,94,DET,35.33333333,91.33333333,8.333333333,25.33333333,19.66666667,29.33333333,17,37.33333333,54.33333333,19,5.333333333,3,13,18,98.66666667,98
201510300HOU,GSW,42,94.5,9,28,18.5,23.5,16,35.5,51.5,27.5,8.5,5.5,14,26.5,111.5,112,HOU,30,84.5,6.5,29,22,31,13.5,33,46.5,18,8,8.5,16,19.5,88.5,92
201510300MIL,WAS,34,76,9.5,24.5,25.5,34.5,11.5,31.5,43,21,7.5,7,19,17,103,118,MIL,36,84,8,21,25,29.5,12,27.5,39.5,25,8,3,17,29.5,105,113
201510300ORL,OKC,46,98,7.5,23,26,30,16.5,37,53.5,20,7.5,6.5,19.5,23.5,125.5,139,ORL,42,103,8.5,29.5,19,25,15.5,37,52.5,22.5,9.5,8,15,26.5,111.5,136
201510300PHI,UTA,35.5,81.5,4.5,12.5,17.5,23,8.5,36,44.5,17,7,7,9.5,23.5,93,99,PHI,26.5,73,6.5,18.5,23.5,30,11,31.5,42.5,13.5,7.5,5.5,20,22,83,71
201510300PHO,POR,39,87,10.5,28,13.5,16.5,8.5,38,46.5,19.5,8,4.5,17.5,27,102,92,PHO,35.5,85,5,21,26.5,37.5,12,42,54,16,8,5,18.5,23.5,102.5,110
201510300SAC,LAL,38,89.5,10,34,26.5,31,10,32.5,42.5,19,4.5,6.5,16,26.5,112.5,114,SAC,46.5,97.5,8.5,23,16.5,24,14,38.5,52.5,25,7,5,15,25,118,132
201510300SAS,BRK,35,85,2.5,12.5,15,21.5,9,29.5,38.5,18,8.5,5.5,14,17.5,87.5,75,SAS,42.5,89.5,7,18.5,12,13,9.5,36.5,46,22.5,9,6.5,15.5,17,104,102
201510310IND,UTA,36.66666667,83.66666667,5,13.33333333,16,21.33333333,10.66666667,34.66666667,45.33333333,16.33333333,9,6,12,23.66666667,94.33333333,97,IND,32.33333333,78,8.333333333,23.33333333,19.66666667,25.33333333,8.333333333,29,37.33333333,18.66666667,9.666666667,4.666666667,19,23.66666667,92.66666667,76
201510310LAC,SAC,45.33333333,98.66666667,7.666666667,21.33333333,16.66666667,24.33333333,15.66666667,35.66666667,51.33333333,23.33333333,7.666666667,4,14.33333333,28,115,109,LAC,39.66666667,81,6,22.33333333,24.33333333,36.66666667,6.666666667,38.66666667,45.33333333,22,6,8.666666667,13.33333333,19.33333333,109.6666667,114
201510310MEM,BRK,36,83,2.666666667,12.66666667,14,20.33333333,8.666666667,31.33333333,40,19,6.666666667,4.666666667,13.33333333,19,88.66666667,91,MEM,34.66666667,81.33333333,6,18.33333333,21,26.33333333,11.33333333,30,41.33333333,22.33333333,8.666666667,3.333333333,13,20.66666667,96.33333333,101
201510310NOP,GSW,43.33333333,91,11.66666667,28.66666667,20.66666667,27.33333333,11.66666667,35.33333333,47,27,9,5,12.66666667,25.66666667,119,134,NOP,39,91.33333333,8.333333333,24.33333333,16.66666667,22.66666667,9.666666667,30.33333333,40,20.66666667,6.666666667,3,14.66666667,22,103,120
201510310POR,PHO,36.66666667,88,7,24.66666667,21.66666667,30.33333333,11.66666667,40.33333333,52,16,9,5.333333333,16.66666667,22.33333333,102,101,POR,37,84.33333333,9.666666667,28.66666667,14.33333333,20.33333333,9,37,46,19.66666667,7.666666667,4.666666667,17,24.66666667,98,90
201510310WAS,NYK,40.33333333,90.66666667,8,23.66666667,24.66666667,29.33333333,14.66666667,31,45.66666667,22,9.666666667,5.333333333,16.66666667,27.33333333,113.3333333,117,WAS,35.33333333,80.66666667,8.333333333,23.66666667,26.33333333,34,11.33333333,31.66666667,43,19.66666667,8,5.666666667,18.33333333,22,105.3333333,110
201511010BOS,SAS,40.33333333,87.33333333,6.333333333,18.66666667,14,17,9.666666667,38,47.66666667,22.33333333,9.333333333,6.333333333,16.33333333,16.66666667,101,95,BOS,35.33333333,89.33333333,7,26.33333333,23,27.33333333,11,30.33333333,41.33333333,25,11.33333333,5,16.66666667,24.66666667,100.6666667,87
201511010CHI,ORL,39.66666667,98.66666667,8,27.33333333,16,22.33333333,14.33333333,35,49.33333333,22,8.666666667,9,15.33333333,24,103.3333333,87,CHI,36.5,84,8.75,24.25,17.75,22.75,7.75,38,45.75,18.5,7.5,7.25,16,21.5,99.5,92
201511010CHO,ATL,38,84,8.25,25.75,15,19.25,7.75,35.25,43,23.25,9.5,4.5,14,19,99.25,94,CHO,33.66666667,86,10.66666667,30.33333333,15.33333333,19,11,36.33333333,47.33333333,22,6,6.666666667,12.33333333,16.66666667,93.33333333,92
201511010LAL,DAL,38.33333333,89.66666667,9,27,15,20.66666667,9.333333333,41.33333333,50.66666667,24.66666667,5.333333333,3,10.33333333,24.33333333,100.6666667,103,LAL,35.66666667,88,10,34,24.66666667,30,9.333333333,33,42.33333333,18.66666667,5.666666667,7.333333333,14.66666667,24.33333333,106,93
201511010MIA,HOU,30.66666667,82.66666667,7.666666667,31.33333333,19.66666667,26.66666667,10,32.33333333,42.33333333,18.66666667,8.333333333,6.666666667,16.33333333,20.66666667,88.66666667,89,MIA,37,78.66666667,9,21,18.66666667,21.33333333,6.333333333,36,42.33333333,22.66666667,7,6.333333333,12.66666667,20.33333333,101.6666667,109
