GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS,WINNER
201610250CLE,NYK,36.85365854,83.97560976,7.43902439,21.48780488,17.20731707,21.37804878,10.36585366,34,44.36585366,20.51219512,5.695121951,5.682926829,12.65853659,19.70731707,98.35365854,90,CLE,38.67073171,84,10.73170732,29.6097561,16.25609756,21.74390244,10.64634146,33.86585366,44.51219512,22.69512195,6.719512195,3.865853659,12.87804878,20.31707317,104.3292683,110,1
201610250GSW,SAS,40.1097561,82.8902439,6.951219512,18.51219512,16.36585366,20.3902439,9.390243902,34.52439024,43.91463415,24.51219512,8.256097561,5.914634146,12.53658537,17.47560976,103.5365854,96,GSW,42.54878049,87.30487805,13.13414634,31.6097561,16.65853659,21.82926829,9.951219512,36.24390244,46.19512195,28.93902439,8.402439024,6.073170732,14.86585366,20.74390244,114.8902439,125,1
201610250POR,UTA,36.06097561,80.40243902,8.463414634,23.85365854,17.09756098,22.98780488,10.73170732,32.5,43.23170732,18.96341463,7.695121951,5.182926829,14.17073171,20.18292683,97.68292683,96,POR,38.62195122,85.85365854,10.53658537,28.48780488,17.36585366,23.03658537,11.56097561,33.92682927,45.48780488,21.31707317,6.853658537,4.634146341,14.07317073,21.73170732,105.1463415,107,1
201610260BOS,BRK,38.24390244,84.3902439,6.475609756,18.3902439,15.68292683,20.7195122,10.52439024,31.87804878,42.40243902,22.30487805,7.646341463,4.048780488,14.31707317,18,98.64634146,96,BOS,39.2195122,89.24390244,8.743902439,26.12195122,18.53658537,23.52439024,11.58536585,33.32926829,44.91463415,24.15853659,9.170731707,4.243902439,13.46341463,21.90243902,105.7195122,98,1
201610260IND,DAL,37.36585366,84.14634146,9.829268293,28.56097561,17.73170732,22.32926829,9.158536585,33.91463415,43.07317073,22.1097561,6.829268293,3.731707317,12.32926829,19.45121951,102.2926829,91,IND,38.31707317,85.18292683,8.085365854,23.03658537,17.43902439,22.82926829,10.32926829,33.8902439,44.2195122,21.23170732,9.048780488,4.768292683,14.34146341,20.01219512,102.1585366,97,1
201610260LAL,HOU,37.73170732,83.5,10.70731707,30.8902439,20.37804878,29.35365854,11.34146341,31.7195122,43.06097561,22.20731707,10.01219512,5.243902439,15.24390244,21.82926829,106.5487805,116,LAL,35.12195122,84.82926829,7.792682927,24.58536585,19.30487805,24.73170732,10.70731707,32.25609756,42.96341463,18.02439024,7.231707317,4.109756098,13.01219512,20.26829268,97.34146341,101,0
201610260MEM,MIN,37.74390244,81.31707317,5.548780488,16.42682927,21.37804878,26.98780488,10.01219512,31.54878049,41.56097561,23.36585366,8,4.573170732,14.35365854,20.68292683,102.4146341,144,MEM,36.81707317,83.64634146,6.146341463,18.54878049,19.31707317,24.68292683,11.17073171,30.45121951,41.62195122,20.69512195,8.829268293,4.268292683,12.69512195,21.74390244,99.09756098,104,0
201610260MIL,CHO,37.02439024,84.41463415,10.64634146,29.3902439,18.70731707,23.67073171,8.951219512,34.98780488,43.93902439,21.68292683,7.256097561,5.341463415,11.86585366,18.13414634,103.402439,117,MIL,38.35365854,82.19512195,5.365853659,15.57317073,16.97560976,22.7195122,10.46341463,31.20731707,41.67073171,23.1097561,8.195121951,5.792682927,14.63414634,20.67073171,99.04878049,92,0
201610260NOP,DEN,37.7195122,85.40243902,8,23.69512195,18.45121951,24.07317073,11.47560976,33.14634146,44.62195122,22.65853659,7.426829268,4.817073171,14.17073171,21.01219512,101.8902439,99,NOP,38.45121951,85.85365854,8.56097561,23.79268293,17.25609756,22.23170732,9.536585366,33.07317073,42.6097561,22.17073171,7.719512195,4.170731707,13.03658537,20.8902439,102.7195122,109,1
201610260ORL,MIA,38.41463415,81.67073171,6.073170732,18.04878049,17.14634146,23.03658537,9.841463415,34.2804878,44.12195122,20.84146341,6.743902439,6.475609756,13.23170732,18.31707317,100.0487805,88,ORL,39.53658537,86.82926829,7.756097561,22.17073171,15.23170732,20.1097561,10.2804878,33.03658537,43.31707317,23.57317073,8.207317073,5.085365854,13.59756098,20.74390244,102.0609756,103,1
