GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201710170CLE,BOS,39.18604651,85.62790698,11.41860465,30.6744186,16.18604651,21.02325581,8.976744186,35.1627907,44.13953488,24.23255814,7.279069767,5.139534884,12.65116279,20.53488372,105.9767442,117,CLE,39.92857143,83.83333333,10.97619048,30.85714286,18.16666667,23.47619048,8.452380952,33.64285714,42.0952381,23.5952381,6.904761905,3.666666667,13.54761905,17.76190476,109,105
201710170GSW,HOU,39.11904762,84.85714286,15.47619048,43.23809524,20.42857143,26.45238095,9.19047619,35.19047619,44.38095238,22.16666667,8.80952381,4.904761905,12.85714286,19.14285714,114.1428571,110,GSW,42.81395349,84.53488372,11.20930233,27.90697674,16.27906977,19.6744186,9.046511628,35,44.04651163,30.41860465,7.76744186,7.627906977,15.04651163,19.11627907,113.1162791,123
201710180BOS,MIL,39.62790698,83.74418605,9.162790698,25.55813953,17.09302326,22.13953488,8.325581395,31.62790698,39.95348837,22.88372093,8.837209302,5.023255814,13.8372093,22.11627907,105.5116279,96,BOS,36,88,8,32,19,25,9,37,46,24,11,4,10,24,99,99
201710180DAL,ATL,38.68421053,85.05263158,11.60526316,32.10526316,16.18421053,20.47368421,8.605263158,32.89473684,41.5,25.73684211,7.289473684,4.394736842,14.28947368,19.26315789,105.1578947,113,DAL,38.26315789,86.21052632,11.76315789,32.68421053,15.52631579,20.15789474,8.473684211,34.55263158,43.02631579,23,6.973684211,3.842105263,11.81578947,19.86842105,103.8157895,97
201710180DET,CHO,38.51282051,86.20512821,10.25641026,27.41025641,19.20512821,26.17948718,9.846153846,35.05128205,44.8974359,21.56410256,6.820512821,3.974358974,11.53846154,17.1025641,106.4871795,119,DET,38.57894737,87.65789474,10.71052632,29.26315789,13.84210526,18.47368421,10.55263158,31.31578947,41.86842105,22.02631579,8.210526316,3.921052632,12.89473684,19.42105263,101.7105263,119
201710180MEM,NOP,41.84615385,89.25641026,10.66666667,28.8974359,14.8974359,19.58974359,9,35.87179487,44.87179487,25.56410256,7.794871795,5.666666667,13.8974359,19.38461538,109.2564103,101,MEM,36.34210526,82.07894737,9,25.26315789,16.34210526,20.36842105,8.947368421,30.34210526,39.28947368,20.84210526,7.078947368,4.026315789,14.63157895,23.18421053,98.02631579,123
201710180ORL,MIA,38.04878049,84.53658537,11.26829268,30.95121951,15.12195122,20.19512195,8.804878049,34.58536585,43.3902439,23.51219512,7.585365854,5.390243902,14.24390244,21.14634146,102.4878049,91,ORL,38.92105263,85.76315789,10.07894737,29.21052632,15.65789474,20.94736842,9.263157895,33.89473684,43.15789474,23.13157895,7.921052632,5.342105263,14.63157895,18.68421053,103.5789474,101
201710180SAC,HOU,47,97,15,41,13,19,10,33,43,28,9,5,12,16,122,122,SAC,39.42105263,85.34210526,9.105263158,24.31578947,12.73684211,16.71052632,9.105263158,32.26315789,41.36842105,21.76315789,6.947368421,4.105263158,13.63157895,19.65789474,100.6842105,96
201710180SAS,MIN,39.87804878,84.97560976,7.951219512,22.04878049,19.31707317,23.82926829,9.731707317,31.7804878,41.51219512,21.63414634,8.243902439,4.024390244,12.24390244,18.3902439,107.0243902,104,SAS,37.36585366,85.73170732,7.853658537,23.70731707,16.92682927,22.2195122,10.56097561,32.90243902,43.46341463,21.70731707,7.634146341,4.87804878,12.56097561,17.85365854,99.51219512,91
201710180UTA,DEN,40.39473684,87.21052632,11.81578947,31.5,16.23684211,20.92105263,10.92105263,32.44736842,43.36842105,23.57894737,7.736842105,4.763157895,14.21052632,19.10526316,108.8421053,106,UTA,38.16666667,83.11904762,10.83333333,29.02380952,16.33333333,20.95238095,8.80952381,33.69047619,42.5,22.95238095,8.595238095,5.095238095,14.33333333,19.42857143,103.5,96
