Team,GAME_ID,AWAY_TEAM,MP,A_FG,A_FGA,FG%,A_3P,A_3PA,3P%,A_FT,A_FTA,FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_PTS,HOME_TEAM,MP,H_FG,H_FGA,FG%,H_3P,3H_PA,3P%,H_FT,H_FTA,FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_PTS,WINNER
10/28/2014,201410280LAL,HOU,240,31,73,0.425,12,29,0.414,34,50,0.68,14,33,47,22,7,3,13,30,108,LAL,240,28,79,0.354,3,10,0.3,31,39,0.795,11,25,36,16,7,3,11,32,90,
10/28/2014,201410280NOP,ORL,240,32,84,0.381,4,11,0.364,16,21,0.762,16,40,56,17,5,9,18,25,84,NOP,240,41,101,0.406,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,101,
10/28/2014,201410280SAS,DAL,240,38,78,0.487,8,21,0.381,16,19,0.842,9,24,33,17,9,3,10,20,100,SAS,240,37,70,0.529,14,28,0.5,13,16,0.813,9,29,38,23,5,3,20,20,101,
10/29/2014,201410290BOS,BRK,240,39,80,0.488,7,19,0.368,20,26,0.769,9,30,39,20,6,7,20,21,105,BOS,240,49,88,0.557,8,22,0.364,15,23,0.652,9,26,35,28,11,5,12,25,121,
10/29/2014,201410290CHO,MIL,265,39,80,0.488,7,14,0.5,21,24,0.875,3,32,35,25,9,10,14,25,106,CHO,265,41,101,0.406,6,21,0.286,20,29,0.69,15,35,50,27,8,9,10,20,108,
10/29/2014,201410290DEN,DET,240,31,84,0.369,6,26,0.231,11,19,0.579,8,37,45,15,4,5,15,27,79,DEN,240,30,85,0.353,6,24,0.25,23,31,0.742,14,37,51,17,7,4,15,21,89,
10/29/2014,201410290IND,PHI,240,34,89,0.382,6,21,0.286,17,30,0.567,15,27,42,17,10,5,11,29,91,IND,240,38,81,0.469,8,25,0.32,19,28,0.679,14,36,50,22,5,13,17,24,103,
10/29/2014,201410290MEM,MIN,240,39,86,0.453,6,12,0.5,17,23,0.739,19,28,47,20,8,4,23,21,101,MEM,240,43,82,0.524,4,15,0.267,15,20,0.75,10,23,33,21,10,5,17,21,105,
10/29/2014,201410290MIA,WAS,240,36,75,0.48,6,19,0.316,17,24,0.708,7,29,36,20,7,2,14,20,95,MIA,240,39,81,0.481,9,28,0.321,20,23,0.87,12,32,44,20,9,3,14,17,107,
10/29/2014,201410290NYK,CHI,240,36,71,0.507,7,24,0.292,25,30,0.833,10,37,47,21,9,4,15,18,104,NYK,240,31,85,0.365,3,17,0.176,15,17,0.882,14,24,38,19,9,5,11,22,80,
10/29/2014,201410290PHO,LAL,240,37,86,0.43,4,13,0.308,21,25,0.84,12,26,38,20,9,3,13,18,99,PHO,240,45,82,0.549,16,32,0.5,13,18,0.722,9,31,40,23,5,3,14,25,119,
10/29/2014,201410290POR,OKC,240,33,81,0.407,2,16,0.125,21,26,0.808,14,29,43,19,9,5,13,28,89,POR,240,39,87,0.448,11,29,0.379,17,22,0.773,13,29,42,23,4,9,10,19,106,
10/29/2014,201410290SAC,GSW,240,33,75,0.44,6,27,0.222,23,32,0.719,7,37,44,21,12,8,22,32,95,SAC,240,24,78,0.308,3,18,0.167,26,35,0.743,15,35,50,13,11,3,26,26,77,
10/29/2014,201410290TOR,ATL,240,40,80,0.5,13,22,0.591,9,17,0.529,10,32,42,26,6,8,17,24,102,TOR,240,37,90,0.411,8,26,0.308,27,33,0.818,16,32,48,26,13,9,9,22,109,
10/29/2014,201410290UTA,HOU,240,40,77,0.519,14,27,0.519,10,14,0.714,8,27,35,18,7,6,18,23,104,UTA,240,38,81,0.469,3,18,0.167,14,17,0.824,13,21,34,16,8,6,13,16,93,
10/30/2014,201410300CLE,NYK,240,37,69,0.536,6,12,0.5,15,18,0.833,9,26,35,30,9,1,15,26,95,CLE,240,32,70,0.457,9,24,0.375,17,20,0.85,11,22,33,22,5,2,19,15,90,
10/30/2014,201410300DAL,UTA,240,36,83,0.434,14,35,0.4,16,18,0.889,15,25,40,22,6,0,16,21,102,DAL,240,47,85,0.553,8,21,0.381,18,23,0.783,13,31,44,25,8,5,9,15,120,
10/30/2014,201410300LAC,OKC,240,28,65,0.431,6,21,0.286,28,34,0.824,8,39,47,23,5,2,22,27,90,LAC,240,34,87,0.391,7,30,0.233,18,25,0.72,14,19,33,17,10,4,11,27,93,
10/30/2014,201410300MIN,DET,240,38,91,0.418,7,21,0.333,8,13,0.615,14,32,46,20,3,5,12,24,91,MIN,240,37,76,0.487,4,10,0.4,19,28,0.679,10,33,43,18,8,3,12,21,97,
