201810170CLE,166,-195,4,214.5
201810170GSW,364,-470,9,232
201810180IND,135,-155,3.5,212
201810180WAS,240,-300,6.5,215.5
201810180ORL,-170,145,207,3
201810180DET,125,-145,3,204
201810180BOS,105,-125,6,208.5
201810180MEM,110,-130,3,205
201810180DAL,190,-240,6.5,199.5
201810180UTA,120,-140,2,209
201810180SAS,105,-125,3,207
201810180SAC,-310,250,218.5,9
201810180PHO,-140,120,220,1
201810190TOR,800,-1400,12,206
201810190OKC,650,-1000,11.5,213
201810190LAL,-260,210,218.5,4.5
201810200PHI,130,-150,216.5,1
201810200CHO,160,-190,6,202.5
201810200WAS,230,-280,6.5,210.5
201810200MIL,-105,-115,210,1.5
201810200IND,-230,185,219,3.5
201810200BRK,110,-130,1,220
201810200MIN,170,-200,5.5,200
201810200DAL,200,-250,5.5,203
201810200NOP,-470,360,222.5,6.5
201810200PHO,140,-160,2.5,222
201810210TOR,292,-365,7.5,216
201810210CLE,588,-850,11,212.5
201810210HOU,588,-850,10.5,214.5
201810210NYK,-115,-105,206.5,1.5
201810210MIA,334,-425,8.5,211
201810210CHI,-600,447,202,7.5
201810210MEM,-375,299,213,7.5
201810210MIL,130,-150,4.5,213.5
201810210DEN,588,-850,11,216
201810210UTA,-180,155,200.5,4
201810210LAC,857,-1450,11.5,220
201810220BRK,-105,-115,2.5,219.5
201810220OKC,150,-180,4.5,211.5
201810220LAL,-210,175,217,4
201810230DET,140,-160,4,213
201810230MIA,500,-700,11.5,206
201810230HOU,280,-360,8,210.5
201810230MIL,210,-260,6,205
201810230DAL,-1400,800,214,10.5
201810230SAS,125,-145,2.5,206
201810230DEN,170,-200,2.5,223
201810230PHO,-140,120,2,211
201810240ORL,170,-200,3.5,229
201810240CLE,1100,-2500,14,207.5
201810240BOS,240,-300,9,210
201810240MIN,500,-700,11,217
201810240POR,170,-200,4.5,219
201810240LAC,170,-200,3,200.5
201810250DET,120,-140,pk,208
201810250PHI,-160,140,223,3
201810250CHO,-140,120,pk,212
201810250BRK,-340,270,227,7
201810250MIA,-150,130,195,3
201810250OKC,650,-1000,14,218
201810250DAL,-160,140,196,4
201810250PHO,-330,260,203,7
