GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
201810160BOS,170,-200,5,208.5
201810160GSW,711,-1100,11.5,223.5
201810170CHO,-165,144,1.5,217
201810170DET,211,-255,4.5,212
201810170HOU,278,-345,7.5,229.5
201810170IND,263,-325,7,209
201810170LAC,-125,105,pk,227
201810170NYK,148,-170,3.5,213.5
201810170ORL,-135,115,2,210.5
201810170PHO,-130,110,1,215
201810170SAC,-400,317,7.5,208
201810170SAS,125,-145,1,210.5
201810170TOR,797,-1300,11.5,214
201810180PHI,733,-1150,11,215
201810180POR,135,-155,2.5,222
201810180WAS,215,-260,4,212
201810190BRK,148,-170,3,218.5
201810190LAC,130,-150,1.5,215.5
201810190MEM,237,-290,6.5,208.5
201810190MIL,144,-165,3,214.5
201810190MIN,334,-425,8,223.5
201810190NOP,664,-1000,10.5,228
201810190ORL,-125,105,pk,217
201810190TOR,135,-155,3,206
201810190UTA,-135,115,2,218
201810200CHI,-200,170,2.5,214
201810200DAL,110,-130,2.5,216
201810200DEN,459,-620,9,223
201810200IND,303,-380,9,210.5
201810200LAL,-160,140,2,235
201810200MIA,135,-155,5,216.5
201810200NYK,-500,384,8,211.5
201810200PHI,797,-1300,11.5,217
201810200POR,172,-205,4,213
201810200WAS,110,-130,1,216.5
201810210CLE,303,-380,5.5,226.5
201810210DEN,-189,163,3,230
201810210LAC,115,-135,2.5,225
201810210OKC,477,-650,8.5,219.5
201810220BOS,611,-894,12,212
201810220DAL,170,-200,4.5,228.5
201810220GSW,797,-1300,13,228.5
201810220LAL,110,-130,1,222.5
201810220MIL,614,-900,10,222
201810220MIN,110,-130,2,221.5
201810220POR,160,-185,4.5,226
201810220TOR,317,-400,9,221
201810220UTA,506,-700,9,218
201810230DEN,614,-900,11.5,227
201810230DET,-120,100,3,219
201810230NOP,203,-245,5.5,233
201810240ATL,-130,110,2.5,231.5
201810240CHI,-200,170,3.5,227
201810240CLE,125,-145,3,228
201810240GSW,450,-650,9.5,231.5
201810240HOU,-105,-115,3.5,218.5
201810240MIA,300,-400,8,224
201810240MIL,180,-220,4.5,224.5
201810240PHO,-230,185,2,234
201810240SAC,-140,120,2,220
201810240SAS,105,-125,2,215
201810240TOR,325,-425,8,226
201810250DET,375,-500,6.5,223.5
201810250LAL,-120,100,3.5,239
201810250OKC,-110,-110,1.5,209
201810250ORL,-170,145,3.5,219
201810260CHO,450,-650,8,228
201810260HOU,150,-180,3,219
201810260MIN,-130,110,2,232
201810260NOP,375,-500,9.5,234
201810260NYK,-1000,650,11.5,228
201810260SAC,-240,190,4.5,236
201810260TOR,650,-1000,10.5,229
201810270ATL,190,-240,4,231.5
201810270CLE,-350,275,6.5,215
201810270DET,-160,140,3.5,205.5
201810270MEM,275,-350,9.5,206.5
201810270MIA,105,-125,1,222
201810270MIL,375,-500,9,222
201810270NOP,-260,210,pk,226
201810270PHI,230,-280,6,230.5
201810270SAS,-115,-105,1.5,221
201810280BRK,-650,450,10,226
201810280DAL,-200,170,3.5,217
201810280LAC,145,-170,4,228
201810280OKC,1000,-2000,11.5,218
201810290CHI,-900,600,11,231
201810290DEN,375,-500,7,232.5
201810290IND,145,-170,3,220.5
201810290MIA,375,-500,8,227
201810290MIL,-130,110,1,220.5
201810290MIN,-125,105,1,238.5
201810290NYK,100,-120,1.5,217.5
201810290PHI,650,-1000,11,229.5
201810290SAS,250,-310,6.5,219
201810300BOS,371,-480,8.5,207.5
201810300CHO,140,-160,3.5,220
201810300CLE,172,-205,3,226
201810300HOU,170,-200,2.5,224.5
201810300MEM,-105,-115,1,218.5
201810300OKC,144,-165,2.5,224
201810300ORL,170,-200,4,224
201810300TOR,215,-260,6.5,222
201810310BRK,110,-130,1,214
201810310CHI,-400,317,8.5,226.5
201810310GSW,386,-502,12,234
201810310LAL,318,-402,7,235
201810310MIN,-320,260,2.5,223
201810310NYK,-256,212,5.5,211.5
201810310PHO,-350,281,7.5,219
201811010ATL,-135,115,2,230
201811010BOS,120,-140,3,215
201811010CHO,100,-120,1,227
201811010CLE,-230,185,5,222
201811010PHI,190,-240,4.5,229.5
201811010POR,275,-350,4,237
201811020BRK,-190,160,4.5,219.5
201811020CHI,-310,250,7.5,211.5
201811020DAL,200,-250,6,216.5
201811020GSW,550,-800,11,243
201811020ORL,-170,145,3.5,220
201811020PHO,-650,450,10,226
201811020UTA,275,-350,8,202
201811020WAS,145,-170,2.5,233.5
201811030ATL,-240,190,5.5,226.5
201811030CHI,-425,325,8,227
201811030CHO,450,-650,9.5,226
201811030DEN,160,-190,4,208
201811030IND,-165,142,1,207.5
201811030PHI,275,-350,7.5,224.5
201811030POR,135,-155,3.5,238
201811030SAS,105,-125,3,231.5
201811040BRK,-180,150,4,226
201811040LAL,105,-125,3,233
201811040MIL,450,-650,10,234
201811040PHO,-190,160,3,210.5
201811040POR,225,-275,4,231
201811040SAS,280,-360,8,209
201811040WAS,240,-300,6.5,228
201811050DEN,100,-120,2,203
201811050DET,130,-150,3.5,218
201811050GSW,1000,-2000,14,219
201811050IND,-110,-110,pk,212
201811050LAC,190,-240,5,228
201811050NYK,130,-150,2.5,216
201811050OKC,140,-160,4.5,236
201811050ORL,150,-180,3.5,212
201811050UTA,135,-155,1.5,217
201811060CHO,600,-900,11,232
201811060DAL,-125,105,1,225.5
201811060PHO,-140,120,pk,219.5
201811060POR,-130,110,1,230
201811070ATL,-120,100,1,222.5
201811070CLE,-280,230,5.5,219.5
201811070IND,125,-145,2.5,216
201811070LAL,220,-270,5,237
201811070MEM,-160,140,3.5,205.5
201811070MIA,-105,-115,1.5,215.5
201811070NOP,550,-800,10.5,230.5
201811070ORL,-155,135,1,211.5
201811070SAC,-550,400,8,233.5
201811070UTA,400,-550,10,218.5
201811080GSW,220,-270,6,238.5
201811080OKC,-210,175,4.5,214.5
201811080PHO,-500,375,8.5,211
201811080POR,180,-220,4.5,225.5
201811090ATL,-250,200,5,223.5
201811090DEN,350,-450,9.5,209.5
201811090MIA,-135,115,1,209.5
201811090ORL,-170,145,3,216.5
201811090PHI,190,-240,223.5,5115
201811090SAC,-135,115,3,234.5
201811090UTA,220,-270,3,210
201811100CHI,170,-200,4,212.5
201811100DAL,105,-125,1,216
201811100GSW,300,-400,10,226.5
201811100LAC,-190,160,3,231.5
201811100MEM,170,-200,pk,210
201811100MIA,145,-170,3,225.5
201811100NOP,375,-500,10,228
201811100SAC,-250,200,5.5,240
201811100SAS,-170,145,pk,208
201811100TOR,1000,-2000,14,218.5
201811110DEN,140,-160,2,220
