epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,168.81702828182458,10.444083,168.81703,182.52244948989235,10.744075,182.52248
1,155.7387647014898,9.926787,155.73872,172.75838753836496,10.433945,172.75836
2,151.8362213985604,9.748393,151.83627,169.39742248113254,10.312272,169.39742
3,150.71814445630113,9.686132,150.71814,168.4334749142695,10.268502,168.4335
4,150.50517139067264,9.666367,150.50511,168.1318363101801,10.252444,168.13185
5,150.3109672705919,9.66406,150.31102,167.96838860577702,10.2418165,167.96841
6,149.92854173948845,9.646319,149.92856,167.7469726281232,10.230039,167.74698
7,150.3434733961292,9.654414,150.34348,167.62234827560215,10.224378,167.62233
8,149.9696383192775,9.649533,149.96959,167.6612033826415,10.224713,167.66121
9,149.9101868238836,9.643049,149.9102,167.48812520251295,10.215811,167.48813
10,149.72872772154236,9.633901,149.72867,167.5013434766075,10.214508,167.50133
11,149.78919700757066,9.631887,149.78926,167.404003343714,10.210322,167.404
12,149.87087768079218,9.634755,149.8709,167.37725233789962,10.208817,167.37727
13,149.64031499445855,9.627858,149.64032,167.30690172608547,10.205459,167.3069
14,149.43820449747773,9.624491,149.43817,167.18072442261305,10.200471,167.18071
15,149.68482963684008,9.6368,149.68481,167.25040371802547,10.202393,167.25041
16,149.62248211524778,9.623601,149.62248,167.23564762519803,10.20071,167.23566
17,149.55589979483779,9.62894,149.55591,167.17378284085183,10.197425,167.17378
18,149.28497485872074,9.614528,149.28491,167.1729248609411,10.196893,167.1729
19,149.16066093804554,9.612961,149.1606,167.06184788013934,10.191801,167.06184
20,149.37130450146665,9.615631,149.37138,167.03009419946628,10.190747,167.03009
21,149.22650167129723,9.616269,149.22649,166.89097646546253,10.185533,166.89099
22,148.89188268332268,9.598375,148.89186,166.89227614161055,10.184591,166.89229
23,149.3201165506223,9.617202,149.32008,166.9497809344173,10.186323,166.94977
24,149.1793014976811,9.610367,149.1793,166.93651293214015,10.185048,166.93652
25,149.08536538299649,9.604507,149.0854,166.81421812558503,10.180692,166.81424
26,149.08488055202207,9.615122,149.08488,166.78937697168868,10.178845,166.78938
27,149.21527053939363,9.618434,149.21526,166.88830278809718,10.181774,166.88832
28,148.9356038436483,9.599637,148.93562,166.72629328433268,10.175871,166.7263
29,149.2710920320568,9.611087,149.27109,166.75183724961522,10.17569,166.75185
30,148.85901309956094,9.6011915,148.85898,166.76491514988209,10.176221,166.76494
31,148.93363666729928,9.604937,148.9336,166.71546553510674,10.173968,166.71548
32,148.63316019894208,9.590978,148.63316,166.55651015180595,10.16829,166.55652
33,148.84115232723371,9.601966,148.84113,166.68137921451972,10.17205,166.68138
34,148.86404756465473,9.604432,148.86401,166.67193355999785,10.170832,166.67194
35,148.91169534818516,9.600006,148.91171,166.6195051483295,10.168421,166.61949
36,148.67481981490957,9.589949,148.67484,166.59954518964213,10.168047,166.59955
37,148.8919904238868,9.591086,148.89203,166.58008818033105,10.167215,166.58011
38,148.5348911981399,9.588983,148.53482,166.62296058197725,10.168473,166.62296
39,148.56115864984028,9.588003,148.56117,166.6341822470388,10.168634,166.63417
40,148.7269396842528,9.597398,148.72697,166.62154775874407,10.168703,166.62155
41,148.53883792240632,9.594879,148.53888,166.521339296965,10.16401,166.5213
42,148.41238758670545,9.58153,148.41243,166.57723063807333,10.1656475,166.57722
43,148.44421666369374,9.586201,148.44421,166.6308398409373,10.168711,166.63084
44,148.40000246117575,9.586498,148.40002,166.51005168862056,10.162982,166.51007
45,148.31926157671,9.580854,148.3193,166.42536916425152,10.15857,166.42537
46,148.0980621875921,9.5752125,148.09805,166.42057783416888,10.15882,166.42056
47,148.38571008711185,9.585535,148.3857,166.45123928087648,10.159698,166.45125
48,148.2189217567835,9.572067,148.21887,166.27549548171083,10.152559,166.27548
49,148.13931646030326,9.575198,148.13931,166.21573348506806,10.149727,166.2157
50,148.42707825332647,9.577277,148.42711,166.25056772539693,10.15061,166.25058
51,148.30818590427725,9.577014,148.30815,166.3718766032276,10.156265,166.37186
52,148.31263120744305,9.57561,148.31262,166.3188275596513,10.1527605,166.31882
53,148.39940591697177,9.578613,148.39941,166.39396005094326,10.156314,166.39395
54,148.32757978138252,9.58087,148.32755,166.18636138494114,10.147536,166.18634
55,148.68225293474248,9.595735,148.68227,166.26658481299054,10.150389,166.26659
56,147.81946161762033,9.561393,147.81943,166.15695579985868,10.146606,166.15694
57,147.99272379732463,9.570728,147.99277,166.11720243533085,10.144471,166.11719
58,148.08773556592377,9.566697,148.08768,166.15879885062645,10.144738,166.15877
59,147.8976936293411,9.567824,147.89767,166.03359872844362,10.139646,166.0336
60,148.15532740318858,9.574137,148.15532,166.17301286969865,10.145136,166.17302
61,148.02824946767535,9.56196,148.0281,166.13560907741845,10.144236,166.13562
62,147.91818630504724,9.564773,147.91814,166.15554659091933,10.144876,166.15553
