Predicted Spread,Actual Spread,Spread Profit,Away ML,Home ML,ML Profit,Over/Under,Over/Under Profit
13,18,0,170,-200,5,208.5,9.090909091
6,8,0,711,-1100,0.909090909,223.5,9.090909091
1,-1,0,-165,144,-10,217,9.090909091
2,3,0,211,-255,3.921568627,212,9.090909091
-7,-19,0,278,-345,27.8,229.5,9.090909091
14,28,0,263,-325,3.076923077,209,9.090909091
-2,-9,0,-125,105,8,227,9.090909091
14,19,0,148,-170,5.882352941,213.5,9.090909091
2,3,0,-135,115,11.5,210.5,9.090909091
15,21,0,-130,110,11,215,
-2,-6,0,-400,317,2.5,208,9.090909091
6,4,0,125,-145,6.896551724,210.5,9.090909091
11,12,0,797,-1300,0.769230769,214,
9,19,0,733,-1150,0.869565217,215,9.090909091
8,9,0,135,-155,6.451612903,222,9.090909091
2,-1,0,215,-260,-10,212,9.090909091
3,2,0,148,-170,5.882352941,218.5,9.090909091
7,16,0,130,-150,6.666666667,215.5,9.090909091
14,14,0,237,-290,3.448275862,208.5,9.090909091
15,17,0,144,-165,6.060606061,214.5,
11,8,0,334,-425,2.352941176,223.5,9.090909091
15,20,0,664,-1000,1,228,9.090909091
-16,-32,0,-125,105,8,217,9.090909091
8,12,0,135,-155,6.451612903,206,9.090909091
3,-1,0,-135,115,-10,218,9.090909091
-3,-2,0,-200,170,5,214,9.090909091
15,4,0,110,-130,7.692307692,216,9.090909091
14,28,0,459,-620,1.612903226,223,9.090909091
11,20,0,303,-380,2.631578947,210.5,9.090909091
-5,-9,0,-160,140,6.25,235,
-3,-1,0,135,-155,13.5,216.5,9.090909091
8,-2,0,-500,384,-10,211.5,
4,1,0,797,-1300,0.769230769,217,9.090909091
9,13,0,172,-205,4.87804878,213,9.090909091
0,-4,0,110,-130,11,216.5,9.090909091
0,-22,0,303,-380,30.3,226.5,
0,2,0,-189,163,-10,230,9.090909091
-8,3,0,115,-135,-10,225,
-4,-11,0,477,-650,47.7,219.5,9.090909091
-3,-3,0,611,-894,61.1,212,9.090909091
12,6,0,170,-200,5,228.5,
12,20,0,797,-1300,0.769230769,228.5,9.090909091
3,-1,0,110,-130,-10,222.5,9.090909091
11,11,0,614,-900,1.111111111,222,9.090909091
10,10,0,110,-130,7.692307692,221.5,9.090909091
0,-1,0,160,-185,16,226,9.090909091
5,21,0,317,-400,2.5,221,9.090909091
12,-8,0,506,-700,-10,218,9.090909091
-4,14,0,614,-900,-10,227,9.090909091
6,1,0,-120,100,10,219,9.090909091
15,7,0,203,-245,4.081632653,233,
7,7,0,-130,110,11,231.5,9.090909091
0,2,0,-200,170,17,227,
-3,-16,0,125,-145,12.5,228,9.090909091
2,22,0,450,-650,1.538461538,231.5,9.090909091
-2,-11,0,-105,-115,9.523809524,218.5,9.090909091
7,23,0,300,-400,2.5,224,9.090909091
11,15,0,180,-220,4.545454545,224.5,9.090909091
0,-18,0,-230,185,4.347826087,234,9.090909091
10,5,0,-140,120,12,220,9.090909091
0,-20,0,105,-125,-10,215,9.090909091
3,7,0,325,-425,2.352941176,226,9.090909091
6,7,0,375,-500,2,223.5,9.090909091
13,7,0,-120,100,10,239,9.090909091
4,-6,0,-110,-110,-10,209,9.090909091
-13,-14,0,-170,145,5.882352941,219,9.090909091
10,29,0,450,-650,1.538461538,228,
-4,-20,0,150,-180,15,219,9.090909091
-8,-30,0,-130,110,7.692307692,232,9.090909091
10,2,0,375,-500,2,234,9.090909091
-2,-28,0,-1000,650,1,228,
-4,4,0,-240,190,-10,236,9.090909091
9,9,0,650,-1000,1,229,9.090909091
-3,-12,0,190,-240,19,231.5,9.090909091
-2,-12,0,-350,275,2.857142857,215,
4,-20,0,-160,140,-10,205.5,
15,21,0,275,-350,2.857142857,206.5,9.090909091
0,9,0,105,-125,-10,222,9.090909091
12,22,0,375,-500,2,222,9.090909091
5,-21,0,-260,210,-10,226,9.090909091
5,2,0,230,-280,3.571428571,230.5,9.090909091
-7,4,0,-115,-105,-10,221,
0,-6,0,-650,450,1.538461538,226,
5,-9,0,-200,170,-10,217,
0,32,0,145,-170,5.882352941,228,9.090909091
7,7,0,1000,-2000,0.5,218,
-4,-25,0,-900,600,1.111111111,231,9.090909091
-2,5,0,375,-500,-10,232.5,
1,-10,0,145,-170,-10,220.5,9.090909091
-3,-10,0,375,-500,37.5,227,9.090909091
9,15,0,-130,110,11,220.5,9.090909091
-3,4,0,-125,105,-10,238.5,
4,19,0,100,-120,8.333333333,217.5,9.090909091
5,21,0,650,-1000,1,229.5,9.090909091
1,5,0,250,-310,3.225806452,219,
-4,3,0,371,-480,-10,207.5,9.090909091
11,12,0,140,-160,6.25,220,9.090909091
0,22,0,172,-205,-10,226,
-3,-19,0,170,-200,17,224.5,9.090909091
5,12,0,-105,-115,8.695652174,218.5,
1,18,0,144,-165,6.060606061,224,9.090909091
-10,-8,0,170,-200,17,224,9.090909091
8,17,0,215,-260,3.846153846,222,9.090909091
3,1,0,110,-130,7.692307692,214,9.090909091
6,-1,0,-400,317,-10,226.5,9.090909091
5,10,0,386,-502,1.992031873,234,9.090909091
10,1,0,318,-402,2.487562189,235,9.090909091
0,3,0,-320,260,-10,223,9.090909091
3,-6,0,-256,212,-10,211.5,
-6,-30,0,-350,281,2.857142857,219,
-11,-31,0,-135,115,7.407407407,230,
-5,4,0,120,-140,-10,215,9.090909091
14,-4,0,100,-120,-10,227,9.090909091
0,-19,0,-230,185,4.347826087,222,9.090909091
5,9,0,190,-240,4.166666667,229.5,
6,13,0,275,-350,2.857142857,237,9.090909091
-1,-8,0,-190,160,5.263157895,219.5,9.090909091
5,-2,0,-310,250,-10,211.5,9.090909091
8,-12,0,200,-250,-10,216.5,9.090909091
9,17,0,550,-800,1.25,243,9.090909091
-7,-25,0,-170,145,5.882352941,220,9.090909091
0,-9,0,-650,450,1.538461538,226,9.090909091
7,-10,0,275,-350,-10,202,
1,-23,0,145,-170,-10,233.5,
0,5,0,-240,190,-10,226.5,
-2,-8,0,-425,325,2.352941176,227,9.090909091
12,32,0,450,-650,1.538461538,226,9.090909091
1,15,0,160,-190,5.263157895,208,
4,1,0,-165,142,14.2,207.5,9.090909091
5,10,0,275,-350,2.857142857,224.5,9.090909091
4,-4,0,135,-155,-10,238,
-2,14,0,105,-125,-10,231.5,9.090909091
8,25,0,-180,150,15,226,9.090909091
5,-14,0,105,-125,-10,233,9.090909091
4,35,0,450,-650,1.538461538,234,9.090909091
8,2,0,-190,160,16,210.5,9.090909091
10,30,0,225,-275,3.636363636,231,9.090909091
2,-7,0,280,-360,-10,209,9.090909091
4,13,0,240,-300,3.333333333,228,9.090909091
5,8,0,100,-120,8.333333333,203,9.090909091
0,-5,0,130,-150,13,218,9.090909091
16,16,0,1000,-2000,0.5,219,9.090909091
