Away Pred,Home Pred,Away Actual,Home Actual,Away ML,Home ML,Spread,Over/Under
113.17934,109.71456,130,110,170,-200,5,208.5
111.03911,118.32018,137,79,711,-1100,11.5,223.5
109.146645,113.01231,95,119,-165,144,1.5,217
109.36504,108.766106,97,119,211,-255,4.5,212
116.305305,117.54093,122,83,278,-345,7.5,229.5
102.33531,109.89999,123,93,263,-325,7,209
112.76497,113.86268,106,100,-125,105,pk,227
106.06694,109.04487,113,110,148,-170,3.5,213.5
106.64804,108.46937,116,101,-135,115,2,210.5
105.169586,108.474266,97,124,-130,110,1,215
107.006134,104.218925,93,96,-400,317,7.5,208
112.404366,108.24763,112,98,125,-145,1,210.5
113.84939,116.79661,98,109,797,-1300,11.5,214
105.67981,91.95248,87,87,733,-1150,11,215
111.37271,111.04856,115,102,135,-155,2.5,222
104.14105,111.28002,101,92,215,-260,4,212
128.09583,105.31988,126,100,148,-170,3,218.5
101.008385,100.53982,100,98,130,-150,1.5,215.5
109.3455,85.91361,107,83,237,-290,6.5,208.5
114.51558,119.12415,111,113,144,-165,3,214.5
104.52345,109.223404,104,108,334,-425,8,223.5
120.6687,135.69272,117,131,664,-1000,10.5,228
114.79741,107.21177,112,104,-125,105,pk,217
110.73243,120.45246,105,116,135,-155,3,206
109.3635,126.46376,108,123,-135,115,2,218
106.83286,112.95043,103,108,-200,170,2.5,214
120.16023,106.39494,131,100,110,-130,2.5,216
119.98039,106.197754,121,107,459,-620,9,223
106.527885,110.78719,107,101,303,-380,9,210.5
113.67546,121.39942,112,119,-160,140,2,235
119.08789,111.02289,120,113,135,-155,5,216.5
103.80475,118.97201,101,105,-500,384,8,211.5
97.78224,110.89087,88,127,797,-1300,11.5,217
114.038956,131.80388,112,128,172,-205,4,213
112.73085,113.97994,113,112,110,-130,1,216.5
112.501015,116.01076,117,123,303,-380,5.5,226.5
115.52756,115.716385,124,119,-189,163,3,230
120.9921,105.176476,124,108,115,-135,2.5,225
124.63562,102.944145,129,92,477,-650,8.5,219.5
105.92132,108.263855,115,103,611,-894,12,212
116.70743,125.07528,116,140,170,-200,4.5,228.5
107.93136,112.68573,91,98,797,-1300,13,228.5
112.82605,121.05076,108,115,110,-130,1,222.5
114.47946,120.89425,101,118,614,-900,10,222
112.50108,128.4185,132,136,110,-130,2,221.5
114.34162,128.1974,113,121,160,-185,4.5,226
117.90425,120.033455,113,117,317,-400,9,221
108.184616,126.43056,131,123,506,-700,9,218
126.19273,111.909096,131,100,614,-900,11.5,227
113.30788,115.72384,116,118,-120,100,3,219
113.87935,140.91646,115,149,203,-245,5.5,233
121.6456,124.58483,115,133,-130,110,2.5,231.5
115.769104,115.88476,106,109,-200,170,3.5,227
108.43756,116.84137,112,111,125,-145,3,228
118.54927,117.5088,125,123,450,-650,9.5,231.5
112.13064,120.72696,84,112,-105,-115,3.5,218.5
114.15166,113.61877,113,112,300,-400,8,224
119.87916,123.99242,132,124,180,-220,4.5,224.5
129.00075,113.992134,142,103,-230,185,2,234
105.01095,123.971565,92,112,-140,120,2,220
112.51206,125.32044,91,143,105,-125,2,215
120.52936,123.24683,101,127,325,-425,8,226
109.980804,122.142525,86,133,375,-500,6.5,223.5
116.393974,130.25702,126,131,-120,100,3.5,239
101.458595,108.20675,90,120,-110,-110,1.5,209
126.25071,107.44426,124,93,-170,145,3.5,219
114.959816,117.751915,112,110,450,-650,8,228
110.10605,114.4788,109,89,150,-180,3,219
122.08965,119.75053,123,105,-130,110,2,232
109.2054,134.23904,102,116,375,-500,9.5,234
122.5056,113.617805,144,87,-1000,650,11.5,228
119.8367,121.47436,122,97,-240,190,4.5,236
117.736725,122.11363,104,112,650,-1000,10.5,229
114.157104,121.95895,106,111,190,-240,4,231.5
111.45468,110.75019,116,103,-350,275,6.5,215
103.90172,119.30059,101,110,-160,140,3.5,205.5
110.03088,103.09755,113,92,275,-350,9.5,206.5
128.1616,114.11409,128,110,105,-125,1,222
108.95795,123.97564,114,125,375,-500,9,222
109.33504,130.78189,100,117,-260,210,pk,226
119.16428,119.25561,135,108,230,-280,6,230.5
129.40825,121.56503,121,96,-115,-105,1.5,221
124.07081,115.73492,128,115,-650,450,10,226
113.96904,118.02732,132,107,-200,170,3.5,217
118.57431,114.754585,112,133,145,-170,4,228
107.35508,106.07301,96,95,1000,-2000,11.5,218
124.09744,115.071205,120,97,-900,600,11,231
127.902954,117.50315,111,114,375,-500,7,232.5
124.78871,118.002716,111,119,145,-170,3,220.5
121.103,117.21902,116,120,375,-500,8,227
121.358475,124.888,116,113,-130,110,1,220.5
124.8955,117.72982,106,95,-125,105,1,238.5
111.531975,110.43004,114,100,100,-120,1.5,217.5
112.88473,116.84884,85,105,650,-1000,11,229.5
113.9185,118.26646,104,110,250,-310,6.5,219
113.72129,107.69695,89,109,371,-480,8.5,207.5
114.21989,119.162636,113,103,140,-160,3.5,220
109.65764,109.118835,92,107,172,-205,3,226
121.94302,116.80761,103,113,170,-200,2.5,224.5
117.0487,106.624214,104,117,-105,-115,1,218.5
119.010956,108.990326,136,117,144,-165,2.5,224
120.77541,109.69611,123,91,170,-200,4,224
115.5919,120.77662,113,109,215,-260,6.5,222
113.19667,112.74221,105,96,110,-130,1,214
116.47,115.931206,116,124,-400,317,8.5,226.5
126.16958,130.10837,111,149,386,-502,12,234
114.38672,126.04464,108,120,318,-402,7,235
114.00392,117.887566,113,124,-320,260,2.5,223
113.15165,112.82714,93,115,-256,212,5.5,211.5
116.78798,111.18319,113,110,-350,281,7.5,219
120.756004,115.43125,107,114,-135,115,2,230
123.17623,108.184044,124,108,120,-140,3,215
112.078125,120.4022,128,125,100,-120,1,227
115.5604,114.4777,108,136,-230,185,5,222
117.80252,117.66673,110,112,190,-240,4.5,229.5
125.51778,122.09449,121,104,275,-350,4,237
109.09983,113.13843,85,120,-190,160,4.5,219.5
112.8295,115.43409,107,107,-310,250,7.5,211.5
109.48548,116.19523,101,113,200,-250,6,216.5
118.98059,129.63437,128,131,550,-800,11,243
116.91359,106.89469,113,99,-170,145,3.5,220
120.71005,109.492836,129,90,-650,450,10,226
105.23073,118.1348,107,125,275,-350,8,202
111.62663,116.324715,111,95,145,-170,2.5,233.5
114.42131,114.63434,113,115,-240,190,5.5,226.5
110.52933,114.14516,119,105,-425,325,8,227
111.01483,119.411125,91,107,450,-650,9.5,226
114.244064,116.38093,100,110,160,-190,4,208
106.931274,112.59417,117,107,-165,142,1,207.5
113.565544,118.58533,119,122,275,-350,7.5,224.5
124.06088,124.33328,114,132,135,-155,3.5,238
124.69095,119.36509,119,120,105,-125,3,231.5
115.648186,114.49779,109,111,-180,150,4,226
119.61134,125.30945,107,114,105,-125,3,233
124.519196,125.23654,146,113,450,-650,10,234
106.47641,107.22074,110,98,-190,160,3,210.5
116.30699,122.64233,99,110,225,-275,4,231
102.67737,117.37154,95,109,280,-360,8,209
110.22484,116.3545,118,111,240,-300,6.5,228
106.202385,115.21875,101,103,100,-120,2,203
114.72751,113.47448,118,99,130,-150,3.5,218
108.112045,126.81527,100,116,1000,-2000,14,219
108.81592,111.9509,96,102,-110,-110,pk,212
112.563576,119.32769,81,120,190,-240,5,228
110.15027,111.15658,88,95,130,-150,2.5,216
121.72834,116.88897,95,134,140,-160,4.5,236
108.88935,107.74679,94,117,150,-180,3.5,212
120.39476,114.757515,121,88,135,-155,1.5,217
113.73791,120.50578,123,126,600,-900,11,232
113.57036,115.99907,108,106,-125,105,1,225.5
113.19307,107.75152,122,102,-140,120,pk,219.5
124.579315,121.62205,144,111,-130,110,1,230
110.5264,115.10366,115,102,-120,100,1,222.5
116.00792,110.2246,122,100,-280,230,5.5,219.5
113.74545,111.17297,97,94,125,-145,2.5,216
113.44899,123.10478,109,107,220,-270,5,237
115.104324,108.06531,115,101,-160,140,3.5,205.5
116.607796,118.84261,110,120,-105,-115,1.5,215.5
