Iteration,Predicted Wins,Predicted Losses,Predicted % Accuracy,Away Wins,Home Wins,Explained Variance Score
0,75,48,60.97560976,50,73,-0.011122695
1,82,41,66.66666667,43,80,0.044537084
2,79,44,64.22764228,52,71,0.086503246
3,81,42,65.85365854,47,76,0.095273859
4,85,38,69.10569106,50,73,0.08848575
5,80,43,65.04065041,50,73,0.059349838
6,74,49,60.16260163,56,67,0.067779439
7,69,54,56.09756098,52,71,-0.024943849
8,77,46,62.60162602,45,78,0.050837848
9,74,49,60.16260163,56,67,0.053430142
Total,776,454,63.08943089,501,729,0.051013066
